model,IPSL-CM5A-LR,GFDL-CM3,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,GISS-E2-H,MIROC-ESM-CHEM,GFDL-ESM2G,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,NorESM1-ME,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,GISS-E2-R,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5,MRI-CGCM3,GFDL-ESM2M,bcc-csm1-1-m,NorESM1-M,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,bcc-csm1-1,IPSL-CM5A-MR
run,run1,run1,run1,run1,run2,run3,run4,run5,run1,run1,run1,run1,run2,run3,run4,run5,run6,run1,run1,run2,run3,run4,run1,run1,run2,run3,run1,run1,run1,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,268.736911164,262.454332344,258.545187858,263.382172188,258.626800455,250.463964211,255.431641209,255.277156751,265.006698062,259.486152473,254.226941304,256.627456752,263.226816838,261.936311362,251.630370516,262.348066019,258.924778472,254.857579916,245.77294026,254.600309089,246.561806208,246.407403232,255.886619245,251.732172423,262.682779572,251.655424185,261.059283662,259.120929985,259.707341899,262.348327637,262.879472811,261.670763142,261.202184364,259.606712497,260.622844419,254.981157781,251.33482567,251.981559635,258.717817547,250.08743822,245.88825456,265.111960748
2006-02-01,251.869458296,260.77628749,252.441571145,261.483754059,259.172136058,258.41417877,264.050140633,260.041947585,259.646160761,264.177081115,260.614047462,268.011854438,261.494723172,262.847137705,252.234857874,258.662767473,251.779570289,256.60586671,246.534739825,251.326229214,245.394358229,246.589534697,258.874845197,252.456550107,252.296037348,254.81226029,260.305080241,262.112154781,265.892190267,259.072357178,259.689514781,259.828893359,259.903795822,254.875669461,260.632203132,260.104997544,261.670218612,249.219348811,256.910024663,260.029113563,251.98341314,266.184733501
2006-03-01,262.291565923,265.88139048,261.12327366,258.76587009,263.326980881,261.500619485,258.233787271,262.206922041,259.031958063,268.34812954,258.785369646,261.061467951,267.90383645,256.855938728,261.072191199,266.105154691,251.518201893,261.739295605,259.984698889,256.473670574,255.205075033,255.677620169,260.21961397,259.402987269,261.390279997,260.106227894,261.25460749,259.831008563,265.6729433,265.125793457,260.978756356,258.194062606,260.037573681,260.878083323,262.420121442,264.26070076,261.16565904,260.644394109,260.697826756,265.137362966,257.748043825,269.228531037
2006-04-01,271.153780066,267.663089406,271.913539913,264.694036508,267.710243869,268.2227647,272.108383854,263.555031764,265.927802942,265.442538214,259.302229279,269.476533485,266.028815767,266.300851358,264.391927627,268.397755761,264.775480542,263.218269614,266.538775325,265.21145591,268.509207248,268.971155381,269.557189296,269.008154937,269.506831911,265.380383185,268.290661726,267.359311316,269.445457199,266.250183105,264.974762357,265.073837179,266.233778045,268.468339003,263.666124521,268.967266466,269.380507576,263.845985806,266.540587214,268.512397034,267.90182791,271.282381101
2006-05-01,275.17000831,276.557604986,278.096336748,276.078995226,276.543838504,277.286818433,274.184531807,277.026127519,278.240001961,277.068935834,275.794232504,273.889147603,271.530105521,274.056533113,275.701845406,275.435593439,274.227816242,272.996066587,275.863671198,275.20760128,276.233378288,276.671479776,276.991733325,274.384483393,275.642268767,275.249567923,275.940826505,276.001726875,273.944157272,271.922729492,276.208934785,276.200848628,275.770682087,277.725368721,276.291386302,276.665655386,275.626326023,272.662173643,276.117917721,276.840622742,274.535042169,273.385565451
2006-06-01,285.170997173,282.070637226,282.414484329,283.51988446,284.777998006,286.304258189,287.282839417,283.776564186,283.765815319,283.527118272,278.704488341,280.43184749,278.309496934,280.058155875,282.171141193,282.31137912,277.675217821,279.926591013,282.255223749,283.86008209,281.86005835,282.732521218,280.781937284,284.116472671,286.037912422,285.106110651,284.409793019,282.369803831,279.937473078,279.638641357,282.348819276,282.157863395,281.794467588,282.237391816,280.197989461,281.145334063,279.791362646,279.015302956,279.211384825,280.999554964,277.238595691,282.139912157
2006-07-01,287.801881452,283.716082953,284.877501834,287.121571927,285.449415343,288.448059684,288.129520906,286.700119396,285.948404852,287.912058704,279.681462151,286.246523308,281.603404118,282.303793934,281.453853585,283.922468971,280.839879187,284.039510747,284.621087946,282.969367992,283.20370911,283.125269719,284.289757941,285.475194695,286.020716245,287.449979246,284.894527013,283.452959245,284.62613152,280.502716064,281.998578944,281.671788691,281.087699492,281.39705548,280.517777584,280.412134466,281.428456489,278.5451247,279.971134047,280.810041299,277.508195723,284.021547531
2006-08-01,284.976588745,283.25118871,283.490725425,285.401097552,285.774114355,285.720280639,285.832005563,284.273823673,284.382883578,285.807113655,278.748051608,281.565739668,281.506945169,281.05446363,279.531211743,283.383220519,282.806036603,278.207017249,283.826962607,282.865288393,282.553188247,283.277041659,282.368895038,282.405791879,283.266349396,281.921084201,282.335154678,280.437227334,284.879131016,280.345306396,278.971753913,278.900608405,279.37252587,280.451187343,278.914505497,278.497810253,277.976673656,277.626860981,279.959912498,280.6758987,277.608294628,281.802551719
2006-09-01,279.092206251,274.408739291,279.692694116,278.601047305,280.039500761,280.966417415,280.642133355,279.232486135,280.236998805,279.768299348,274.321614052,278.443550155,275.291216721,276.949244167,275.293018548,279.635639936,277.243362663,273.591277095,275.78085032,279.665644169,277.919577593,277.369527884,279.007920649,276.032208985,279.9791241,277.944374712,279.563109064,275.310434275,277.52633881,276.590698242,275.860417607,274.526182996,275.826534919,274.790491736,273.711374161,277.460052725,275.50630995,276.837204645,276.964452803,275.485287258,272.768023293,275.860787303
2006-10-01,270.23894897,270.154943713,274.345061165,273.430933655,272.96082616,274.161681937,272.907183918,272.767235297,271.256712699,274.095495499,267.218577469,272.692815428,268.208899935,271.716821043,267.487971919,273.396202495,267.481748807,266.956585934,268.123831373,272.341705482,270.324391837,271.437112299,271.958367048,267.164282437,265.868526822,267.797152472,272.604788864,271.710196751,272.267790964,264.520690918,269.040107758,270.400942798,269.941077422,271.012815568,267.854769991,271.611999429,267.311872229,267.359632193,270.672469779,272.880288107,270.956115781,269.494273911
2006-11-01,267.125549618,264.877431082,265.467160705,265.270415358,257.687503226,261.024684938,269.646954365,263.628575791,264.455643468,266.326560263,254.929227514,260.326714246,264.318249766,266.380433739,266.093682696,267.282533952,256.840262483,261.435522607,263.930175178,259.074973262,255.533927515,258.221744605,268.792277414,255.71625121,257.511284363,258.603144999,265.488114863,266.053623732,261.156162789,256.202667236,259.457558937,261.582616713,265.730128658,260.590030996,265.650003025,263.471375136,262.426650987,257.792543896,264.941557257,265.637059662,264.917426226,269.617540944
2006-12-01,261.976964835,260.032328129,262.624935888,253.036002328,259.836794012,261.271616141,267.799929622,267.474916851,256.979242831,262.441197728,248.926834559,257.105564551,262.173339724,263.803236079,255.356233311,260.029266842,259.266735405,250.060446383,253.050915543,256.660754199,252.987247442,248.903586128,264.556606234,255.318143087,257.756108772,260.9808751,256.649880437,259.382696637,262.436998797,257.393371582,259.307031865,253.809526208,263.420358931,259.531961696,259.584143079,260.002355557,256.657921907,257.204660981,260.258017545,259.851614894,258.487641673,271.123075346
2007-01-01,259.404881487,260.796944205,256.988665454,253.553172552,263.50928022,250.867806541,264.625800941,261.333475565,260.074409314,261.351043757,253.057579266,262.030774394,267.51953344,265.608447287,253.243358111,257.067173226,259.200970134,249.689578358,257.830416267,246.655775567,251.165805019,252.132736216,261.094398156,253.702971049,255.352192919,250.054405042,259.271224748,259.975610778,260.508889944,252.125778198,253.655608455,252.846595049,259.694388776,256.323802138,257.934854144,258.033356894,261.792591678,252.396590139,259.08670217,253.869688812,248.964541462,262.264941333
2007-02-01,258.779810929,265.497562414,252.296658222,252.526976135,261.995058028,251.402176574,262.403479499,258.080602055,258.484965553,264.926770714,243.144611788,262.664798267,255.576973767,263.265885209,259.404536242,259.632788033,251.85276819,249.851011665,250.874160738,247.438127793,252.62622708,251.309557592,257.564281081,259.169626417,256.284653118,258.000264472,260.930074284,263.402608022,262.841843894,258.289764404,259.374711525,255.319538002,260.620415962,264.392215984,253.252520729,257.32100697,260.473987095,256.724220747,260.333847386,253.269222724,249.116846927,268.490187578
2007-03-01,260.019414299,260.462659463,255.006306672,257.737765752,262.616397945,263.090850889,263.933209447,260.485661319,260.088298655,265.182633952,259.539232296,261.597516893,260.504550461,267.943903264,262.152916884,254.950802399,259.39572346,263.032386088,258.752727917,253.332149631,257.617488452,252.547583521,261.37400814,258.153287297,265.160379734,260.965902794,260.929200603,262.650361181,265.062918949,258.043579102,260.362714591,259.886647531,267.930243566,267.010362349,257.867875278,265.558462451,262.905760505,257.72218725,265.517087597,265.119641616,260.04585825,267.582931055
2007-04-01,270.550730451,267.610785298,264.656212914,260.005901863,270.189236316,270.577392576,269.876135362,267.960535689,264.894329487,269.65295206,265.467618355,271.885654933,267.893004857,269.256059696,261.350724116,265.880177432,263.773367203,261.53013747,262.124937524,264.922754976,267.678071516,262.207521047,274.027659778,266.701026651,264.907256075,267.558231935,267.034667209,271.966490197,269.435610503,265.311859131,266.381673122,266.613814047,270.866953863,270.965815235,270.081674277,265.884210781,265.477677578,268.501570039,264.938350124,266.615400046,265.904664636,273.00441201
2007-05-01,277.165215772,274.99146632,274.482056305,275.486267394,278.42783324,277.899405298,277.40113328,274.881637973,274.793201286,274.920060098,274.699648432,274.36413742,272.962099551,276.447542473,274.399958136,273.562719518,270.791727961,270.426522371,275.059257865,277.671770042,277.543527107,274.867692438,277.638997478,273.060032222,273.766118457,276.066186552,276.018927042,279.061746631,274.908823403,269.243988037,274.806391247,275.321934019,277.066727487,278.703034502,276.14107012,275.909608896,276.819953532,276.307235767,277.79303715,276.437196214,273.470971383,275.082631936
2007-06-01,285.03792838,281.355610511,285.74027813,285.243193014,285.920459817,287.587066634,288.099066484,285.431470733,284.140498948,284.177778288,279.88034489,280.887816395,277.111175803,279.154481393,279.69605327,279.87323299,278.150780059,276.18220357,284.238859754,283.055942945,283.165806613,281.569260436,283.697099689,281.986369917,283.802388409,284.972377495,281.668177927,282.136756179,279.946414717,274.837127686,280.347390559,281.439714069,281.555461328,282.820149772,280.952376259,281.871197047,281.745150977,280.626317933,282.780722553,280.673330922,278.226621946,281.004602458
2007-07-01,288.724561568,284.446593147,286.671272185,286.648181068,285.929250358,286.56179911,290.633140958,286.484367975,285.478749989,283.667160781,281.232937128,283.570218363,279.740743427,281.412231003,285.878576367,279.742460722,282.838024489,278.970879747,282.870257538,283.718392792,284.93632112,282.650770116,285.756699922,284.392019324,284.756712949,284.762560526,284.132978534,283.850124787,280.544777509,278.971343994,281.35852632,282.351236339,281.376609179,282.742186793,281.381720955,282.102695854,282.888204152,281.129579847,282.061133408,281.520688264,278.475486552,286.426235984
