model,IPSL-CM5A-LR,GFDL-CM3,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,GISS-E2-H,MIROC-ESM-CHEM,GFDL-ESM2G,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,NorESM1-ME,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,GISS-E2-R,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5,MRI-CGCM3,GFDL-ESM2M,bcc-csm1-1-m,NorESM1-M,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,bcc-csm1-1,IPSL-CM5A-MR
run,run1,run1,run1,run1,run2,run3,run4,run5,run1,run1,run1,run1,run2,run3,run4,run5,run6,run1,run1,run2,run3,run4,run1,run1,run2,run3,run1,run1,run1,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,272.598583324,270.993400643,269.296616214,271.544822932,273.48938338,275.367663009,269.579427697,271.28923474,268.737722032,272.156086376,270.04024577,268.944897133,269.605465358,275.744090545,276.159058641,270.696522982,267.988002787,273.58984983,269.363346314,267.257868854,268.945698568,269.850534626,269.08774774,269.508264241,268.361665922,268.492407124,274.691194464,268.305849737,273.02499148,270.008300781,270.171385238,272.247603505,268.026310239,266.485625618,271.536442525,273.437751819,272.693004815,272.641584986,270.4599862,271.126107039,271.979520113,271.731372033
2006-02-01,274.63458889,274.263081046,272.836339701,272.982959711,272.695861984,271.52095643,270.85463412,271.615962667,272.556531159,271.411566483,267.145028173,271.115175979,272.214305737,274.516031778,275.648899129,269.151015132,273.435074311,270.366602687,271.266802656,268.830694312,266.672267972,270.613567731,271.570526165,273.124786452,271.566971458,272.982196081,270.864791824,266.341466486,272.833178916,271.06060791,274.665048575,271.415000975,274.161771828,274.854049481,270.723117903,274.295583069,273.006461923,275.292135643,269.436313898,272.819158182,273.951195605,268.707478906
2006-03-01,272.58303477,276.465519946,274.977831736,275.003356123,278.37647721,275.508433519,275.349830773,274.460651436,274.332410899,275.14733002,268.910367684,275.351002562,274.291610664,277.260613335,275.213460279,277.15672675,274.682529494,272.969042647,273.287239665,272.798012195,269.88686174,274.107239826,274.552122513,275.207262719,275.213379641,278.254538024,273.577703362,273.345440048,274.84508388,273.248687744,273.948470327,275.565886332,277.29164746,277.048354334,273.598739234,276.270485071,272.694187233,273.541272049,274.816905195,276.883521906,271.870230505,272.13735949
2006-04-01,277.711200358,278.844697619,280.335347844,280.842395636,281.614286466,278.721267191,279.105478258,276.993536145,277.94484498,280.444497254,272.88216436,276.930295975,275.940922182,279.6866757,279.627917671,280.733822261,278.260762051,275.315581571,276.786731879,278.57998972,277.674565153,281.617610339,277.015248999,278.446225975,279.836034052,281.50277533,277.853400659,277.345920435,277.19044251,277.488464355,277.130647752,279.064159158,278.771670062,278.95039421,280.313488962,279.079288331,278.766610776,277.102331157,280.043022681,278.328637706,277.972485667,278.755510481
2006-05-01,282.738499252,282.236840314,284.869497732,287.388750471,287.490404187,286.719151914,285.831256516,287.465529867,282.57320199,285.138089957,278.69019264,283.046207306,283.130545369,281.387755356,282.492500108,282.182808694,282.920236045,283.263528584,285.194075757,285.165810417,284.164887625,284.791510632,283.9285607,283.391946311,283.289961239,285.660548132,282.746522214,283.353217734,283.991552534,283.717163086,280.411337087,283.435174377,284.953187264,284.380706935,282.128866564,284.209413921,284.183609745,285.028554117,283.626780343,282.5988441,280.961091457,283.695383745
2006-06-01,285.54348909,287.06270477,286.869258728,291.950509751,290.87296749,292.052868806,291.081860852,291.290926806,284.512147755,289.718928874,287.434311234,287.633260432,290.643572313,287.875484083,289.976403141,289.544792397,289.178225697,286.446825997,292.010752162,288.149335881,292.304273576,290.688895638,285.269166141,289.727473976,288.527462275,287.938776621,285.433706677,288.162692712,289.686766565,289.518615723,287.889856848,290.236054548,291.068181011,290.661049544,289.220193602,287.779989605,291.25013555,290.613718198,286.63395757,287.234196162,289.591724831,287.041767627
2006-07-01,289.171592632,288.077957424,289.461336653,294.515970753,294.674189214,293.58077606,293.973085466,294.275715433,289.696309339,294.824358445,291.606906629,294.302576793,294.142440561,292.822305251,294.419340229,292.473415743,293.901356028,291.11174485,295.498756566,295.326648354,294.117438587,293.649186934,290.909138534,292.362793206,292.227249872,292.261210939,288.006814967,290.859334342,294.877076253,293.566772461,293.183977427,294.050327854,295.195354058,294.453821441,295.420651074,293.063590694,295.054822751,294.762522069,293.26253506,293.767687892,290.577649524,292.095268334
2006-08-01,291.032063736,287.504879277,289.02603503,290.249869852,292.997523618,291.328507396,292.064781612,292.436425163,287.44826918,291.375293635,289.108628581,293.605539873,291.816678896,292.8227212,295.300180384,292.588522704,292.250125657,291.613890933,295.955528955,296.45960657,293.423317486,293.48795713,285.655537174,291.596235527,291.139657479,292.02825181,287.033335085,291.555725991,292.41251214,289.7003479,293.197794473,294.505430453,293.183485732,290.851618589,292.191244671,292.319269913,291.630124579,294.597172764,294.053117962,290.500188765,292.014628052,291.668654371
2006-09-01,286.810712321,282.848377161,285.991763353,287.401700131,287.982319624,286.870174652,289.93220491,289.262547173,286.858643397,286.303873596,283.69797994,289.051480276,288.149136703,287.809228408,286.70984137,286.918577669,290.01115753,285.175654156,286.434036733,289.253091973,285.878484555,286.590486852,284.793055925,287.030564835,287.081961448,286.525914952,282.164501418,285.597735764,284.340321531,286.106872559,284.803618642,285.039693906,284.794783184,285.616435971,286.362071945,284.023910475,286.723046422,287.239609847,286.20638402,282.685798846,286.19953372,288.124813059
2006-10-01,281.288915668,277.173662412,280.996329514,282.214936904,281.689277363,281.043338163,281.404709971,280.568844773,279.555653205,281.55287437,275.814583022,283.184696423,281.343583024,276.456336652,278.462172173,282.523527711,281.099902801,279.552515626,280.090505744,281.673988991,280.273293009,282.655163608,279.538046664,279.967991988,280.102512319,279.501170477,279.184930931,277.591382883,278.295931092,278.708709717,274.982256967,277.225717101,279.409792516,276.628353659,279.961560275,277.80870257,279.645969165,280.09517058,278.036596404,279.157386719,277.576017236,279.087414371
2006-11-01,274.071137752,275.260078621,275.445471603,274.958391075,277.851695044,279.376294207,277.129934153,275.308768138,276.090235512,276.840844757,273.955432447,275.856874917,276.073078541,273.140153933,275.651633314,273.994308458,274.636706229,275.114673215,271.678249558,273.926761196,275.968038682,274.109635935,273.63586104,272.479350776,273.334392402,275.391769911,274.228376823,273.801977129,272.164251183,274.202850342,272.710667743,272.51723528,270.786396603,273.637433443,273.924315761,273.954005517,274.490575042,273.746926448,272.799771536,272.265273073,276.835219643,274.514552408
2006-12-01,273.808764186,273.419656858,271.982914119,274.161161712,274.825863746,272.426312083,274.666238241,268.608347206,273.052966275,274.907580773,269.888358886,271.053271899,262.202092462,266.751586861,273.288827542,272.355809278,274.05341687,270.620121391,268.757619708,265.788162788,267.009777108,271.235591577,269.736969118,268.831449953,269.952811629,271.582418293,271.186878039,270.43884541,272.157168549,272.70513916,268.69088536,268.608669489,269.153427295,272.572738506,270.393322348,271.544151585,270.871938282,273.320810571,272.168695052,270.51383812,269.312110672,272.344043088
2007-01-01,270.050390502,271.474343123,273.272185756,269.932218254,270.552091168,271.88754352,273.99473134,268.154707886,267.78448704,270.852476686,265.383098524,270.964529651,262.372242016,267.503976943,269.906665802,271.639173086,262.750382248,271.429759532,265.012856969,269.181441863,264.727277268,269.645560773,267.356223273,273.41514931,271.429276644,272.144430041,274.023460527,270.807927609,268.655053766,266.738464355,271.189349452,269.578356751,271.680208283,274.117296395,271.772268651,271.451896597,268.425417741,271.307256614,272.97367437,268.307133162,268.655672487,268.001199803
2007-02-01,270.838472031,271.791696536,273.340179457,271.5010442,272.323208705,274.144669278,273.211072412,272.043078892,270.876136613,271.135821795,267.884827896,271.842380296,275.678813855,274.223091598,266.08627013,274.410033992,268.227308631,268.374352498,268.136463061,269.729227345,269.698977035,268.496085639,271.976704292,276.29693079,271.413258205,272.279010163,273.53942279,270.864287458,275.394541698,264.279083252,273.102308706,272.946986598,273.115352165,273.357055593,274.238178101,272.840357105,266.202598971,274.091233405,274.079852191,274.534137348,272.302992089,273.097228494
2007-03-01,272.175680115,275.58850075,276.154759754,273.431466524,276.784666575,270.045425189,275.833185103,271.999659937,274.810295965,273.149130109,265.22914096,274.544131834,268.300113378,274.5493644,272.715982948,274.40922352,271.70749325,273.771404002,271.79556146,273.153741009,273.072544875,276.077032979,275.890764956,273.661773302,277.557769993,274.486873849,274.255037097,272.154979576,273.194517267,266.070373535,277.452344358,275.016721443,276.70404173,276.11280528,276.61176586,273.420526271,272.379861538,275.447320561,273.177779708,275.742812499,270.83282938,273.23729626
2007-04-01,279.726533846,277.415363076,278.754574995,278.949789402,280.902330793,279.81293276,281.371601633,277.819492429,276.501950081,279.241531059,272.632308599,277.943330245,275.821437234,278.099445024,275.268932692,278.515108708,275.617872402,276.951769406,279.561797928,278.594936949,277.370735866,282.134152242,278.927280165,280.628075962,282.285812766,277.25682652,277.869570275,274.797119147,275.896518067,276.482971191,279.116278771,279.049854249,278.864546862,279.537507807,279.935036658,278.641772323,278.458225621,277.672331682,279.812737674,278.029901424,274.815280236,279.814486598
2007-05-01,284.901108803,282.723771288,283.8805889,284.722338058,284.530584506,287.673059676,286.776738062,287.058080427,281.342638315,284.052062727,275.459704621,284.040549927,282.890661256,283.049028748,280.240623812,283.151452226,282.734090796,279.228362834,282.456137671,283.759924089,284.153880931,284.630051794,281.40457059,281.849742299,282.841567809,282.131545898,281.333503084,280.978813848,278.067490794,284.677062988,283.828435911,282.887171317,285.015630425,282.333444359,283.482850048,282.802989866,281.907570261,282.846639584,283.300668462,283.124816208,279.633918382,281.085249012
2007-06-01,285.62128386,286.050831772,287.993547651,290.778144932,291.688368383,291.071470013,290.768432567,291.437437858,285.533574382,288.268088194,282.677634274,288.434008099,288.519462465,291.411336084,289.818829815,290.336823095,287.828763531,287.736302012,291.028587201,287.87273506,291.501675525,289.895308951,285.501544621,288.275322144,289.840657215,288.667680741,285.752839717,287.181233501,286.437533773,289.051422119,291.325405132,288.613600391,289.205857443,287.453367436,285.78582207,287.973358647,288.455455686,288.623219105,286.84424865,288.253348456,282.205612982,288.555608134
2007-07-01,291.031996842,287.208392107,291.636402703,293.482095042,292.11718623,293.910228143,294.194336025,294.734153356,289.811406865,290.200484374,291.65551178,294.192280389,294.800957396,294.720622571,291.489984828,293.733443766,292.134344547,292.330416487,294.639291329,295.62363032,296.434417418,296.513817434,287.334624499,291.218215016,293.984233559,291.644542835,288.027768177,289.26322938,291.728605601,292.777801514,294.418292391,293.310839064,296.163422267,291.753851475,294.34903049,293.822579943,295.935128417,294.452065197,294.066732281,293.923190463,287.204882933,292.493177372
