time,FGOALS-g2,FIO-ESM,MIROC-ESM,MIROC5,CanESM2,MPI-ESM-MR,CSIRO-Mk3-6-0,HadGEM2-AO,BNU-ESM,CCSM4,GFDL-ESM2G,MRI-CGCM3,GFDL-ESM2M,NorESM1-M,IPSL-CM5A-MR,IPSL-CM5A-LR,GFDL-CM3,CNRM-CM5,GISS-E2-H,MIROC-ESM-CHEM,NorESM1-ME,HadGEM2-ES,GISS-E2-R,bcc-csm1-1-m,MPI-ESM-LR,bcc-csm1-1,CESM1-CAM5
1677-09-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677-10-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677-11-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677-12-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678-01-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678-02-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678-03-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678-04-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678-05-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678-06-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678-07-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678-08-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678-09-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678-10-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678-11-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678-12-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679-01-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679-02-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679-03-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679-04-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679-05-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679-06-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679-07-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679-08-26 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679-09-26 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679-10-26 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679-11-26 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679-12-26 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680-01-26 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680-02-26 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680-03-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680-04-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680-05-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680-06-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680-07-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680-08-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680-09-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680-10-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680-11-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680-12-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681-01-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681-02-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681-03-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681-04-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681-05-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681-06-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681-07-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681-08-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681-09-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681-10-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681-11-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681-12-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682-01-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682-02-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682-03-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682-04-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
