model,IPSL-CM5A-LR,GFDL-CM3,FIO-ESM,FIO-ESM,FIO-ESM,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,GISS-E2-H,MIROC-ESM-CHEM,GFDL-ESM2G,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,NorESM1-ME,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,GISS-E2-R,HadGEM2-AO,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5,MRI-CGCM3,GFDL-ESM2M,bcc-csm1-1-m,NorESM1-M,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,bcc-csm1-1,IPSL-CM5A-MR
run,run1,run1,run1,run2,run3,run1,run1,run2,run3,run4,run5,run1,run1,run1,run1,run2,run3,run4,run5,run6,run1,run1,run2,run3,run4,run1,run1,run1,run2,run3,run1,run1,run1,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,8.0977155667,7.09040356508,8.30509436047,8.15742533658,12.7883443281,7.18510091899,5.28862799997,5.18534173005,3.72931844418,6.56435820992,4.54562821888,7.99580461618,7.06894699171,7.76263451492,7.65078818463,8.63012911641,9.45693785564,10.3240724215,7.25812884362,6.36124830065,9.22234533216,7.29762812725,5.29039530096,7.43154727582,7.0855117378,12.5571466433,7.96159077699,9.6993820729,9.21403916442,9.36174579136,7.8643274024,4.35567157489,5.79141386476,5.36142730713,9.15544532901,15.5541216419,9.49467335516,13.1069011763,9.40253843351,11.0564276259,8.16001713734,14.4967614316,10.2104352005,13.7102634302,12.801200614,5.23494856032
2006-02-01,6.74143088727,5.1443458477,9.02546376465,13.2642586711,10.0017068523,7.54981807563,5.93387271781,6.08898024994,4.09007512853,5.88378146866,6.10666070759,7.49576489814,8.29681020184,11.5239042682,8.08249047669,7.44619081498,10.571325452,7.81602836177,7.57101615924,8.14167706623,7.15991201399,9.22941030492,7.14295872265,7.54002297658,4.91919880681,8.93374861741,6.70676352324,11.4277743368,11.6276241929,11.559864699,6.13117868879,6.61489425256,5.12685813292,9.6761713028,14.6124398594,16.1474460704,4.46683989592,16.1980772805,14.9302260507,14.1664461067,9.14163903088,15.9973660061,14.8811889392,9.8847221316,17.0163222823,7.53156310102
2006-03-01,10.748447125,7.53796524525,9.98603359286,13.0220236193,11.2808747178,9.05101606587,7.02849692284,4.45476117833,8.96734541596,5.57363583426,6.20385099989,8.10439918562,8.15926983627,13.4660746299,7.26771273876,8.5026879646,7.78002690753,8.5117472293,10.2615198083,6.43564943063,13.0886288481,10.6959800053,9.09396504336,9.36883344938,10.4791872944,10.5820216885,9.0592433974,9.24008164264,9.95215757448,9.62983072232,5.62601143405,9.40029604814,7.46509372249,12.3112430573,16.0630476482,14.8555275097,12.9180789472,14.2355132048,14.6675751767,16.4881106516,14.4641366101,15.6547197575,15.3442308431,16.2697451448,13.6047127243,4.95365643013
2006-04-01,12.2207551569,8.27698242574,6.99279883924,11.7624336995,6.71921651966,7.55702740739,9.81083902808,8.05936339892,7.08605948984,12.3358560579,9.7124411653,7.2138417748,8.28657260377,13.809627745,6.75454855751,8.22037726555,8.38136067038,6.01821764112,5.71080322096,7.94306286843,9.19542777954,9.76040483251,8.85111482739,9.21130309116,9.8828849926,7.07172933854,10.8059379357,8.94640141461,10.0789749062,10.7427092034,7.85904227722,9.76985624698,6.34438327628,9.52752304077,17.9276413341,16.257781054,11.5273936037,15.491424765,13.962195847,16.8343304991,16.7223764224,17.4157855666,13.7203080977,16.3001935425,15.1804918388,8.80628148559
2006-05-01,13.5124094807,5.59097863896,2.9106807143,11.9089456548,5.84083355091,7.1024022743,5.86798423985,7.8401551247,9.37627432923,10.0786012071,7.86899240713,5.72736417292,7.30925449862,8.19981990407,5.46860833717,6.18804318852,6.69217630524,5.19319600732,6.25881675655,6.66504530465,6.0504503521,8.50156844586,10.201174909,5.98623188349,7.17447062212,4.84814506063,10.1493962503,6.47361346559,10.9522145441,9.36784529876,6.36630746121,6.2615517766,6.24865101777,2.71892547607,6.82331887634,7.22792141755,5.39982372529,6.91347566702,8.16065166681,6.71978088019,6.62524942643,5.64716121982,5.66437481862,8.49797378818,13.8531559813,9.65003394459
2006-06-01,7.3068594128,2.73995381558,2.26484440526,7.54187646875,2.64424794022,3.85102412506,6.50924723132,6.63202805111,6.02578261025,4.92338011446,10.4251457838,3.83305703875,4.41322484536,2.2415390015,4.94417345361,4.10713021605,3.46534743344,3.24162915916,3.78889866183,3.72568949325,3.8158408579,5.75289173486,7.04118468921,4.92014787158,8.42697223386,2.73817715114,8.17328073376,5.21803273686,5.6633011488,8.80479754976,4.95029431728,3.22412740405,4.05624723743,3.19805383682,3.5919845664,5.15516474652,4.73951690073,3.35465535165,5.58773002491,6.24794772821,6.93572921049,3.84836753017,4.2600906351,2.29494971132,12.11009813,7.31326776386
2006-07-01,3.41061661958,0.973941209576,3.29643721288,0.901772180957,2.06028259467,4.96662454487,3.63216241232,4.42415364783,4.6567369027,4.16847415324,5.28862337824,1.98129273898,4.16845299422,0.766880156354,3.25123153324,2.85836133997,3.24692965784,2.76312915947,2.30527977141,2.78674037918,2.39138650785,6.12640828223,7.42487944621,4.47553815302,6.23464655443,3.54997552509,7.44429574128,2.22567802175,3.68445763965,2.8696090361,3.27375349206,1.95992843638,3.96299804174,2.3175110817,5.81268879923,5.44957255822,5.51957396644,3.12461203335,5.96067725766,7.18440183475,5.97097105366,3.41169196909,2.61891234853,5.26661422527,10.6338180858,3.03613535187
2006-08-01,4.81797483024,1.22656697852,4.58713229688,5.70198755093,3.79633262987,8.39050860434,4.55472745207,6.23380062702,5.15303539814,3.14455766897,3.48908078225,2.98894629821,6.37416106806,2.86456069238,2.84666195696,2.86441565106,3.23585945427,3.79519156263,2.91422938594,2.8538465044,4.63915123628,5.65925612676,7.38460776594,7.82766680311,6.2190601589,3.33310108088,6.66783461561,1.87688671791,2.31071848075,1.84716731488,5.61094742536,2.96267014365,5.12168731035,3.50259923935,7.59152401642,5.83041388906,5.83933673038,8.30864681789,7.09473180612,6.89743023318,7.52979567457,9.74852017676,6.59356775186,10.940105794,9.93227845649,4.61527621846
