time,MIROC4h,ACCESS1-0,ACCESS1-3,IPSL-CM5B-LR,MIROC5,GFDL-ESM2M,FIO-ESM,CMCC-CMS,HadCM3,MIROC-ESM,HadGEM2-ES,CanESM2,MPI-ESM-P,MRI-ESM1,MPI-ESM-MR,CSIRO-Mk3-6-0,CESM1-BGC,inmcm4,CESM1-FASTCHEM,GISS-E2-R-CC,BNU-ESM,CNRM-CM5-2,FGOALS-g2,GFDL-CM2p1,GFDL-ESM2G,CMCC-CM,EC-EARTH,CanCM4,CCSM4,NorESM1-M,CESM1-WACCM,IPSL-CM5A-MR,IPSL-CM5A-LR,GFDL-CM3,CNRM-CM5,GISS-E2-H,MIROC-ESM-CHEM,MRI-CGCM3,NorESM1-ME,HadGEM2-AO,GISS-E2-R,HadGEM2-CC,GISS-E2-H-CC,CMCC-CESM,bcc-csm1-1-m,MPI-ESM-LR,bcc-csm1-1,CESM1-CAM5
1850-01-01 00:00:00,,7.73851341667e-05,4.41087029988e-05,4.85876656739e-05,3.93011171491e-05,,5.41691020771e-05,8.00078127733e-05,,5.415801182e-05,,5.21527018615e-05,6.26534023987e-05,,4.40653251384e-05,4.73211982483e-05,3.51559037146e-05,6.21393670891e-05,3.46885660494e-05,4.02011852429e-05,5.92436219449e-05,3.03693876776e-05,4.83889789393e-05,,,4.57318838935e-05,5.58052497419e-05,,7.55779283373e-05,2.95679928968e-05,2.24998972726e-05,4.13011197842e-05,5.20398305071e-05,,2.91387908874e-05,2.79277082503e-05,0.000106057395897,6.31376088688e-05,2.82590399593e-05,,4.89858827374e-05,,2.35944131456e-05,5.12686820002e-05,7.74033246888e-05,5.61122370917e-05,4.41166920912e-05,3.95992701486e-05
1850-02-01 00:00:00,,4.29735290969e-05,4.47182895923e-05,2.94847039299e-05,4.26013055403e-05,,4.10282713953e-05,5.34667841358e-05,,5.23125082812e-05,,2.16856259916e-05,3.1496284646e-05,,4.17803123128e-05,3.3368437341e-05,7.59350055299e-05,5.45371450633e-05,4.07813131001e-05,3.77362691211e-05,9.09920745471e-05,3.63360889423e-05,3.8791137437e-05,,,2.28350999709e-05,5.15465547518e-05,,2.25388300599e-05,4.77351641166e-05,2.1941643115e-05,3.37328290373e-05,3.21614051586e-05,,2.43719163427e-05,5.20012122252e-05,4.02113516126e-05,1.68935985725e-05,2.10112556942e-05,,2.38257818902e-05,,4.54122913425e-05,4.25869839091e-05,7.28700267809e-05,2.31449097295e-05,6.1074046486e-05,3.39795333826e-05
1850-03-01 00:00:00,,6.456678468e-05,3.3600266003e-05,3.47396247662e-05,4.42520413162e-05,,3.31250493521e-05,3.33544415688e-05,,3.30037760553e-05,,3.22664598267e-05,2.62856624821e-05,,3.4332082058e-05,4.16366133452e-05,2.07549289068e-05,2.71922948741e-05,3.88479806262e-05,3.57070311262e-05,6.65729785396e-05,3.60873833688e-05,4.66473730436e-05,,,2.65554815702e-05,3.42272206267e-05,,2.17085086633e-05,2.08190958801e-05,2.8837439686e-05,2.87787139444e-05,3.54710913939e-05,,4.72319696291e-05,3.28236938761e-05,5.96245884177e-05,3.03142587871e-05,2.51697169006e-05,,2.77860439913e-05,,3.26622045463e-05,3.25771179632e-05,3.89076223785e-05,3.30478819836e-05,4.33207319778e-05,2.89772107513e-05
1850-04-01 00:00:00,,2.63592850215e-05,3.08192360578e-05,2.29334879123e-05,2.93586907173e-05,,4.29070900282e-05,3.34616251556e-05,,2.23228906179e-05,,3.4223622788e-05,3.10761388391e-05,,1.8190087368e-05,2.50689288285e-05,2.36482919258e-05,4.80606970086e-05,3.0898920379e-05,3.38055465932e-05,3.61547539796e-05,2.87212048988e-05,1.79920766944e-05,,,2.95508160512e-05,3.01743563168e-05,,2.87913408928e-05,2.99808980344e-05,3.15107110509e-05,2.95374251177e-05,2.00851616228e-05,,2.19008694876e-05,3.30757576232e-05,3.22618600573e-05,4.14558550931e-05,2.59476476458e-05,,3.32489377115e-05,,3.17489495956e-05,2.00017129828e-05,3.38349081219e-05,4.21549650907e-05,2.57907367995e-05,2.27311466603e-05
1850-05-01 00:00:00,,2.78378414524e-05,4.31577405141e-05,2.5968891805e-05,2.68189271628e-05,,2.90061772224e-05,3.78191271531e-05,,3.89547655383e-05,,1.84722549117e-05,3.26625196197e-05,,2.32982108303e-05,1.36961482513e-05,2.85498548178e-05,3.99332172362e-05,2.70873130895e-05,4.2094333215e-05,3.61186358835e-05,3.5218450812e-05,2.07018130823e-05,,,2.09837575441e-05,2.41163006866e-05,,1.60515993009e-05,2.12073464354e-05,2.35815014548e-05,1.5300503888e-05,1.79534095821e-05,,3.24788728358e-05,3.27376008045e-05,3.32564205564e-05,4.16144696374e-05,3.85344131246e-05,,4.3089119572e-05,,2.63755970498e-05,1.03097736428e-05,1.54414258196e-05,1.82058533288e-05,3.26117693476e-05,1.98853247758e-05
1850-06-01 00:00:00,,3.2276361253e-05,2.6675732854e-05,4.18756112168e-05,4.04788907872e-05,,2.03174925142e-05,1.4587224827e-05,,5.15054197119e-05,,9.51493660371e-06,3.14395409077e-05,,2.84610390996e-05,1.45290818766e-05,1.62664006085e-05,5.63910749146e-05,1.75791134198e-05,3.11151200663e-05,2.13371020815e-05,2.90683085586e-05,2.20655851081e-05,,,3.02598557689e-05,3.21182934559e-05,,2.67062044263e-05,1.8320099116e-05,1.70561749767e-05,4.58847404872e-06,2.75583424525e-05,,3.49536398608e-05,3.0128074286e-05,3.72935647344e-05,3.40679355791e-05,3.27808331804e-05,,4.71577638261e-05,,2.20732420265e-05,3.57105091098e-06,1.88110273842e-05,1.1198087928e-05,1.82873923526e-05,2.80504710241e-05
1850-07-01 00:00:00,,8.02018361767e-06,1.96251884994e-05,3.31566728278e-05,2.38320876906e-05,,1.33486545792e-05,1.58075758788e-05,,3.48575249366e-05,,1.10051822351e-05,5.15678215639e-06,,1.20825192425e-05,2.08427035022e-07,1.18825645382e-05,3.79792403172e-05,6.6946520871e-06,4.23239717975e-05,1.22883250855e-05,3.19687128285e-05,1.88332025724e-05,,,9.33489104912e-06,1.78557149291e-05,,6.9937956535e-06,7.51449533709e-06,7.51697374427e-06,2.00268757875e-05,6.32483691354e-06,,3.24076124843e-05,3.4021114421e-05,3.99039279728e-05,2.56386000122e-05,1.44962972854e-05,,3.69694074228e-05,,3.17174624721e-05,2.1270243451e-06,7.33442726405e-06,1.07851278569e-05,1.57203234266e-05,1.02196401898e-05
1850-08-01 00:00:00,,6.69997799429e-06,1.02200251401e-05,3.21086781696e-05,1.48638767314e-05,,1.99470687676e-05,8.01225209476e-06,,2.01682729009e-05,,3.13223869928e-06,9.13338403084e-06,,1.66222145448e-05,6.46727434679e-07,4.39338164914e-06,3.43273038587e-05,6.602360673e-06,4.58236326419e-05,9.92978855265e-06,2.21706782418e-05,1.92313307707e-05,,,2.14520098072e-05,6.50402860932e-06,,2.00159413846e-06,6.33672607364e-06,1.91815676607e-06,5.66627910976e-06,1.18823406936e-05,,2.06742015132e-05,3.05183921985e-05,2.54596989786e-05,2.26425647129e-05,1.06150557997e-05,,4.32049297387e-05,,1.79947709948e-05,1.89481579582e-06,5.13334072737e-06,1.12919868635e-05,7.30077655741e-06,4.29296855128e-06
1850-09-01 00:00:00,,3.76323105148e-06,1.08553405306e-05,2.46572429319e-05,1.65221809038e-05,,1.31638187971e-05,1.42886785657e-05,,3.17389086073e-05,,7.23104917597e-06,1.46882417279e-05,,2.01021204703e-05,3.12547456685e-06,9.33416935703e-06,1.78604733134e-05,2.03611138729e-05,9.35535543078e-06,2.21963653833e-05,2.33126872263e-05,1.91472144555e-05,,,1.49881343164e-05,1.56733493235e-05,,2.17621699623e-05,1.14742633741e-05,2.5154042683e-06,7.69675921301e-06,7.96944805614e-06,,1.35817477258e-05,2.18189549344e-05,2.45563039546e-05,2.07917574006e-05,3.7985230037e-06,,3.92988009329e-05,,4.53915298711e-05,1.05204599095e-05,2.64189201668e-05,1.00367249356e-05,1.02341236015e-05,7.75893078404e-06
1850-10-01 00:00:00,,3.69845645959e-05,4.49197463067e-05,1.64890590781e-05,2.53862792397e-05,,1.82331742811e-05,3.05710618185e-05,,5.67893209033e-05,,4.18265338036e-05,4.37159107865e-05,,3.92349607344e-05,1.34531052822e-05,3.49435630403e-05,1.64450120922e-05,3.19714744447e-05,6.09849779115e-05,6.10289104467e-05,4.16961538122e-05,2.72345443591e-05,,,3.98797072727e-05,2.19512593005e-05,,3.90266752789e-05,1.57761242008e-05,1.81663173862e-05,1.91854834416e-05,3.36177341751e-05,,3.49999166428e-05,4.3349295576e-05,2.03059536337e-05,4.00440411838e-05,2.53001168403e-05,,5.93351895759e-05,,5.11016371547e-05,5.01650356455e-06,3.99743080379e-05,2.746185055e-05,2.92149195957e-05,1.80024466446e-05
