time,FGOALS-g2,FIO-ESM,MIROC-ESM,MIROC5,CanESM2,MPI-ESM-MR,CSIRO-Mk3-6-0,HadGEM2-AO,BNU-ESM,CCSM4,GFDL-ESM2G,MRI-CGCM3,GFDL-ESM2M,NorESM1-M,IPSL-CM5A-MR,IPSL-CM5A-LR,GFDL-CM3,CNRM-CM5,GISS-E2-H,MIROC-ESM-CHEM,NorESM1-ME,HadGEM2-ES,GISS-E2-R,bcc-csm1-1-m,MPI-ESM-LR,bcc-csm1-1,CESM1-CAM5
2005-12-01,,,,,,,,,,,,,,,,,,,,,,7.64535700347e-05,,,,,
2006-01-01,4.14039922665e-05,8.08652580114e-05,7.11150593512e-05,3.94243030496e-05,2.02687148089e-05,4.2897750557e-05,3.99352858949e-05,1.13793773294e-05,6.68666022345e-05,3.37638062186e-05,8.20764260223e-05,6.50996285545e-05,4.10994694499e-05,3.58150937245e-05,6.39272286207e-05,4.48438601666e-05,2.85468683122e-05,5.39056715388e-05,3.39749711505e-05,8.58919450062e-05,3.46420905771e-05,6.35784126644e-05,5.20034188109e-05,6.59683555352e-05,2.9943001573e-05,4.77507845062e-05,7.01605027515e-05
2006-02-01,1.7212572493e-05,3.68271436552e-05,6.03300224611e-05,4.5168008437e-05,3.15565735339e-05,7.07131303248e-05,5.67331694193e-05,1.23540907431e-05,4.27143890799e-05,1.81701114371e-05,4.29272971208e-05,4.93030328947e-05,7.72893020743e-05,1.31400829559e-05,6.16716119112e-05,3.40254318871e-05,4.39910847945e-05,1.77167813308e-05,4.95170256348e-05,7.73956486228e-05,3.54308408987e-05,2.92711788678e-05,4.00366384383e-05,4.98092086413e-05,7.71928374888e-05,4.43142846052e-05,3.50547439905e-05
2006-03-01,1.87844847157e-05,4.95723037602e-05,3.46115498663e-05,3.50012114359e-05,4.01331949737e-05,2.54597677018e-05,4.71593360479e-05,4.46279514974e-05,5.22426981964e-05,2.8316149626e-05,3.38746477711e-05,3.53002369593e-05,3.17613279953e-05,4.99005618622e-05,4.69330430081e-05,5.08137337647e-05,1.878217851e-05,3.55988112187e-05,2.90011863247e-05,3.01315332763e-05,1.65432435097e-05,5.64926840092e-05,2.75750693201e-05,4.94162697058e-05,4.36606725478e-05,2.75689841146e-05,3.20438442886e-05
2006-04-01,4.22605059915e-05,3.65625255654e-05,4.40114621597e-05,2.49724403875e-05,1.83974815324e-05,2.85859997218e-05,2.85907735815e-05,5.89951218249e-05,4.49979505599e-05,2.83358493088e-05,3.31356818101e-05,4.64054703679e-05,2.52144942957e-05,5.5776348745e-05,3.42928446766e-05,2.00005028717e-05,5.02671906967e-05,2.66075382024e-05,3.11971144621e-05,5.5233117746e-05,3.71076172996e-05,3.54640534559e-05,3.34249473326e-05,4.70149423e-05,4.14872155358e-05,4.50928340191e-05,2.06376150731e-05
2006-05-01,2.24118452024e-05,2.53236198963e-05,4.49669186006e-05,2.71382985738e-05,1.89209245339e-05,2.91544282975e-05,4.03972340272e-05,2.31115274498e-05,2.22473572042e-05,2.30491150157e-05,2.09827217582e-05,3.72968048352e-05,2.98448587475e-05,1.7172196749e-05,1.54922693062e-05,2.11225789428e-05,4.13132900879e-05,2.04640849779e-05,4.17471467623e-05,4.69145124953e-05,1.35513240366e-05,2.08961696309e-05,3.70860881276e-05,2.56256648104e-05,2.3769026406e-05,8.02734950109e-06,2.3759056727e-05
2006-06-01,2.82322303974e-05,3.81122859532e-05,5.32113780764e-05,2.30487750741e-05,1.573500831e-05,1.80510720903e-05,1.26299377989e-05,2.30231853493e-05,3.39828115405e-05,2.38921187876e-05,1.90501163312e-05,4.23927148718e-05,1.88559304332e-05,2.16327243834e-05,1.5868976178e-05,1.74892343807e-05,4.9581407211e-05,3.40355359185e-05,2.79341543603e-05,5.23126861178e-05,1.31200083047e-05,1.08177460204e-05,5.40627015653e-05,1.41208960989e-05,1.77814317535e-05,1.52564219964e-05,2.12340949823e-05
2006-07-01,1.57333533631e-05,8.66542252661e-06,5.30916905973e-05,6.11922565099e-06,6.83650845653e-06,2.19517969526e-05,2.90453501931e-06,3.20985337171e-06,1.94439555344e-05,6.58865507711e-06,2.51723570904e-05,1.68389279663e-05,2.29957922152e-05,8.28844622447e-06,4.39033061152e-06,3.06922027726e-06,3.64738623754e-05,2.2891769886e-05,2.47022217934e-05,4.3263901686e-05,8.30138927981e-06,6.49014273097e-07,4.87048757805e-05,3.54629204303e-06,6.40489743091e-06,9.59046938647e-06,7.56121376714e-06
2006-08-01,1.45200258582e-05,1.37574929795e-05,3.40499960354e-05,1.57456319039e-05,3.73732062447e-06,1.03943669404e-05,5.53726515865e-07,3.62663737026e-06,5.61884905252e-06,1.20802096361e-05,1.19531376615e-05,2.79140704909e-05,2.74047253899e-05,7.36608490115e-06,5.60483240365e-06,2.63491555579e-06,1.34055964243e-05,1.41583550362e-05,2.10822150753e-05,3.73417384859e-05,5.51058129759e-06,1.06390664796e-05,2.94867631207e-05,7.03653987124e-06,6.64764582845e-06,6.73985597738e-06,2.47066244061e-06
2006-09-01,3.36689029306e-05,2.57491288115e-05,3.2613322522e-05,1.57426474925e-05,8.35117485281e-06,1.81536368992e-05,5.71265047386e-06,9.52061644522e-06,9.93733181076e-06,2.91278625497e-05,9.89249446724e-06,1.85293870562e-05,5.51684897548e-06,5.38177118869e-06,1.09138436463e-05,1.39040452183e-05,3.23723384857e-05,1.55977280076e-05,3.79564376469e-05,2.57807183819e-05,9.07892685973e-06,7.95804466304e-06,4.7915747776e-05,8.68761811053e-06,2.38251514799e-05,1.27801086516e-05,1.35113153725e-05
