time,bcc-csm1-1-m,ACCESS1-0,ACCESS1-3,IPSL-CM5B-LR,GFDL-ESM2M,FIO-ESM,CMCC-CMS,MPI-ESM-LR,FGOALS-g2,HadCM3,MIROC-ESM,MIROC5,CanESM2,MPI-ESM-MR,CSIRO-Mk3-6-0,CESM1-BGC,inmcm4,GISS-E2-R-CC,BNU-ESM,MIROC4h,GFDL-CM2p1,GFDL-ESM2G,CMCC-CM,EC-EARTH,CanCM4,CCSM4,NorESM1-M,CESM1-WACCM,IPSL-CM5A-MR,IPSL-CM5A-LR,GFDL-CM3,CNRM-CM5,GISS-E2-H,MIROC-ESM-CHEM,CSIRO-Mk3L-1-2,NorESM1-ME,HadGEM2-AO,GISS-E2-R,HadGEM2-CC,GISS-E2-H-CC,MRI-CGCM3,HadGEM2-ES,bcc-csm1-1,CESM1-CAM5
2005-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.64655000029e-05,,,8.14422402029e-05,,
2006-01-01,8.24336165395e-05,6.60978712837e-05,6.38284586785e-05,6.40486329075e-05,3.95695775903e-05,7.25157209672e-05,7.32971862557e-05,5.19424202918e-05,3.99804620732e-05,4.10085331168e-05,9.1616059702e-05,4.82160429056e-05,2.25849586665e-05,4.59963963034e-05,3.13999240201e-05,5.63037192754e-05,8.67857215261e-05,3.34040739555e-05,5.48688058188e-05,4.12193207102e-05,4.26503011113e-05,5.37133398413e-05,2.55674129938e-05,3.77440501162e-05,4.85617762934e-05,3.5079153239e-05,3.80731326004e-05,4.92399218729e-05,6.7357045035e-05,5.90467714119e-05,2.1941916098e-05,4.75869188358e-05,5.6803536836e-05,6.8242622001e-05,4.10181528423e-05,2.85724669538e-05,5.13227075013e-05,5.71460900574e-05,4.90536467623e-05,3.27911808048e-05,7.66840698816e-05,3.59591103916e-05,4.38825121819e-05,4.74530490621e-05
2006-02-01,1.69584395194e-05,6.08102809565e-05,3.50274203919e-05,5.4377448464e-05,4.75464853985e-05,7.10850215304e-05,2.59102421946e-05,3.76872917903e-05,4.30742767397e-05,3.69825087697e-05,6.56976382743e-05,3.64234333756e-05,5.1011858371e-05,7.33152609817e-05,3.1776054701e-05,2.9228199521e-05,4.67247528702e-05,1.81311123508e-05,5.93788912132e-05,4.2612106178e-05,4.19452611722e-05,5.11105937322e-05,1.72922745784e-05,4.44695527437e-06,2.68989432698e-05,3.87341253666e-05,4.39145223936e-05,2.71982616368e-05,7.48612619126e-05,2.08177731338e-05,3.38377573144e-05,1.80839493737e-05,2.96391484653e-05,3.10178522341e-05,3.60824051313e-05,2.81161087969e-05,1.82858767792e-05,6.27921807942e-05,4.30116267472e-05,3.64304362961e-05,1.29324906712e-05,3.66921450396e-05,6.44456755253e-05,3.80833495056e-05
2006-03-01,1.87899858344e-05,4.87529803736e-05,3.31449495899e-05,2.67798611731e-05,2.97366613672e-05,5.85992274864e-05,1.69052842206e-05,4.41642058182e-05,1.55861183278e-05,3.45050977254e-05,4.49583264223e-05,3.51502786543e-05,1.45546426514e-05,2.34298844589e-05,2.35813646473e-05,3.54300457298e-05,3.39471821592e-05,4.55214152074e-05,2.84172254396e-05,2.7000878866e-05,4.81951556139e-05,4.90638085972e-05,3.94589186533e-05,4.04512367411e-05,2.60177863311e-05,3.12557281958e-05,2.24995255849e-05,2.64507772954e-05,1.13031871738e-05,3.72724149429e-05,3.14868390963e-05,3.86638963573e-05,3.96426712352e-05,4.0860001233e-05,5.00658752571e-05,3.81307232601e-05,1.93247929019e-05,2.91064867118e-05,3.05399454365e-05,5.19853203211e-05,7.16194594177e-05,3.26759345409e-05,3.99529994562e-05,2.28121970799e-05
2006-04-01,2.99326217525e-05,1.98998620059e-05,2.64538664505e-05,3.888070637e-05,3.29910464845e-05,3.52658486615e-05,2.70126986184e-05,1.6847333505e-05,3.61297101335e-05,3.22020161245e-05,3.02602512723e-05,3.80221557862e-05,4.01059215316e-05,2.77769943101e-05,3.48590820067e-05,1.92719188601e-05,4.55892386526e-05,2.30516303456e-05,2.52535929273e-05,3.54728156296e-05,1.6723091499e-05,3.39946878335e-05,2.35783616775e-05,3.36123517584e-05,3.48210071631e-05,2.38894236654e-05,2.70946875389e-05,3.09028210722e-05,2.28943195387e-05,2.67868639412e-05,3.71359091484e-05,3.23053336797e-05,1.87427354869e-05,3.34023616233e-05,2.82156761386e-05,1.71277928075e-05,5.22544702714e-05,2.0859121624e-05,3.31616789654e-05,2.94496412986e-05,5.4189930974e-05,2.87979114113e-05,2.52838062806e-05,2.39754294256e-05
2006-05-01,3.22453928502e-05,3.04927960834e-05,1.7877405634e-05,3.26706885119e-05,3.70632250856e-05,1.77347851301e-05,3.92293125125e-05,2.52745962436e-05,2.58436908553e-05,3.77686344564e-05,3.08733586886e-05,4.24255285543e-05,1.95637626651e-05,1.56173865045e-05,3.88002231245e-05,2.18091325756e-05,4.73483681292e-05,3.41166138658e-05,3.04100746386e-05,2.40286923308e-05,2.80268669586e-05,3.0098506108e-05,3.13243080834e-05,3.85024363173e-05,1.80303026961e-05,1.95414157574e-05,1.80981187441e-05,2.06153211366e-05,2.04271286618e-05,2.20906645154e-05,5.16800466054e-05,2.86060095459e-05,2.65178399938e-05,3.08310847079e-05,1.64167649928e-05,1.12070816613e-05,2.61799036491e-05,4.60391592014e-05,3.29737648003e-05,2.86364021918e-05,5.46809947298e-05,3.7693575905e-05,1.36912677893e-05,2.56832310601e-05
2006-06-01,1.81194197109e-05,2.57151415434e-05,1.83721543619e-05,3.19192408256e-05,4.26765659288e-05,2.47490201521e-05,3.60140685059e-05,2.53516423982e-05,2.47526495514e-05,1.42084066397e-05,3.99912842643e-05,1.714372067e-05,1.91448049615e-05,1.15075838819e-05,1.84609685797e-05,2.70019433601e-05,6.22067789664e-05,2.79027934577e-05,2.91645690595e-05,2.88159481214e-05,1.91434298245e-05,5.40230824602e-05,3.22998296752e-05,2.46100289371e-05,2.65503055743e-05,1.49539816374e-05,1.26224695123e-05,1.83617236871e-05,2.31057146266e-05,2.12454426958e-05,3.65670256315e-05,3.61325517224e-05,5.19983486811e-05,4.79238997514e-05,2.41780053329e-05,1.34412035464e-05,1.4323542089e-05,1.81001995543e-05,5.74382896987e-06,2.55042143067e-05,3.8518322288e-05,1.90185116069e-05,1.32729087454e-05,2.66526288426e-05
2006-07-01,2.21810739173e-06,6.40345039723e-06,8.70999430244e-06,2.54916915026e-05,3.6576898007e-05,2.13969082931e-05,2.38756183535e-05,1.27043267379e-05,2.75893902653e-05,1.32593977469e-05,4.78254009674e-05,9.80330285756e-06,8.17228165152e-06,1.34330575487e-05,3.92912183444e-06,1.63012149839e-05,1.68793375581e-05,4.57317290739e-05,1.74587014044e-05,2.26879525138e-05,7.04527591111e-06,1.72742265174e-05,1.99397048099e-05,2.35361398414e-05,1.49777356455e-05,4.84539650394e-06,5.64826859772e-06,1.46520555973e-05,6.22499977234e-06,6.60495734153e-06,2.50824535044e-05,1.79837035398e-05,2.40317871298e-05,2.18232083474e-05,1.26477743834e-05,1.24328097741e-05,4.48621845129e-06,4.91228031478e-05,2.64301314193e-06,4.53170237809e-05,2.74635684461e-05,7.98536505119e-06,1.68417548669e-05,1.17429184629e-05
2006-08-01,2.04392908287e-06,2.86701079292e-06,7.82738945169e-06,2.64235295049e-05,8.02983445188e-06,1.29643829496e-05,1.67037368686e-05,1.0059505751e-05,3.38635366158e-05,6.69925647874e-06,2.55702565634e-05,1.98101316164e-05,3.44891094718e-06,1.48922246548e-05,1.45807593367e-06,4.72850626691e-06,2.07389029583e-05,3.81415109321e-05,7.38679144945e-06,1.55591408018e-05,8.63465068098e-06,6.35065685886e-06,1.51812917355e-05,1.93992035574e-05,3.50752150098e-06,2.03654590854e-05,4.83179519506e-06,4.6466419505e-06,8.90009990664e-06,7.33604229452e-06,1.38366186491e-05,1.03882354597e-05,2.86181558522e-05,4.36832471072e-05,5.11782036483e-06,2.10545255754e-06,4.16597765926e-06,3.82678155309e-05,4.03300953167e-06,2.56671232629e-05,2.99230112356e-05,8.34740954674e-06,1.40851999883e-05,6.22110727058e-06
2006-09-01,1.41010058896e-05,1.89499966209e-05,1.30344768203e-05,2.04890754389e-05,1.0049474497e-05,2.68864270159e-05,1.39690287012e-05,5.40238023469e-06,2.09609381879e-05,6.28785207842e-06,1.50397156024e-05,2.85547968451e-05,2.16636352889e-05,1.99250082785e-05,6.36419418316e-06,1.61169954862e-05,3.43363069208e-05,3.28702039193e-05,2.41217809768e-05,2.24438942421e-05,3.69997690244e-06,9.55721047073e-06,1.0787385764e-05,1.07296866699e-05,2.32610171224e-05,1.08805585146e-05,3.68794462702e-06,4.38285801749e-06,1.59091202737e-05,1.34992148162e-05,6.4524291948e-06,2.0369733661e-05,1.07081399534e-05,3.86780536549e-05,4.49841900263e-06,1.01817188806e-05,4.6365010479e-06,6.13612581143e-05,5.93377111053e-06,2.85474771999e-05,2.94777195709e-05,9.04372112538e-06,3.64796984892e-06,4.14275209269e-06
