time,IPSL-CM5A-LR,GFDL-CM3,MIROC-ESM,MIROC5,GISS-E2-H,MIROC-ESM-CHEM,GFDL-ESM2G,CCSM4,NorESM1-ME,HadGEM2-AO,GISS-E2-R,FIO-ESM,CESM1-CAM5,MRI-CGCM3,GFDL-ESM2M,bcc-csm1-1-m,HadGEM2-ES,NorESM1-M,CSIRO-Mk3-6-0,bcc-csm1-1,IPSL-CM5A-MR
2005-12-01,,,,,,,,,,,,,,,,,6.86752202801e-05,,,,
2006-01-01,2.78552178656e-05,3.19374732195e-05,5.32095731614e-05,4.48331924417e-05,3.53499604178e-05,7.11067397788e-05,6.8231480125e-05,6.0344287281e-05,2.91175043003e-05,3.10122241423e-05,5.01321836926e-05,8.84400210149e-05,4.20571244363e-05,5.96954375851e-05,4.4154347102e-05,6.64675112386e-05,9.24198426825e-05,3.3623084164e-05,3.7725785348e-05,8.32883568364e-05,4.34118171013e-05
2006-02-01,6.695388754e-05,3.95861787107e-05,4.39786117568e-05,4.7263387969e-05,2.80891636445e-05,6.17711147546e-05,3.84309165485e-05,2.62738182176e-05,4.01922854508e-05,1.51560079379e-05,4.30437382117e-05,3.22611950954e-05,4.02229935858e-05,2.15636325395e-05,2.03821338497e-05,2.71073526533e-05,7.60597913107e-05,6.62468228256e-05,5.31142046904e-05,6.02973683272e-05,3.49714301722e-05
2006-03-01,5.50714775045e-05,2.43128721612e-05,4.69164499615e-05,4.79636586533e-05,1.22324378348e-05,4.19059855631e-05,2.26386965652e-05,5.42998988584e-05,2.85899640403e-05,1.87803554278e-05,3.69905891565e-05,4.69295737275e-05,3.6345579458e-05,4.92516244376e-05,2.71163997038e-05,5.58773010544e-05,2.57020847996e-05,1.82264902833e-05,4.62113105251e-05,4.72552168503e-05,3.317968185e-05
2006-04-01,2.24385328806e-05,2.65736551531e-05,2.32650683756e-05,2.83550810127e-05,3.14270475883e-05,3.16904042847e-05,1.98234443411e-05,1.90687228864e-05,2.84212766928e-05,3.30132970703e-05,2.60490666998e-05,3.41561607153e-05,2.01443954027e-05,4.94017954658e-05,4.4051851445e-05,3.81179720968e-05,3.63172273518e-05,3.70463894797e-05,3.02561226688e-05,2.26220841796e-05,1.48777323245e-05
2006-05-01,1.89326694766e-05,4.84961392431e-05,4.43007781238e-05,2.66197012752e-05,3.78186222368e-05,4.61537591036e-05,1.94421809788e-05,3.64507730483e-05,1.62278018479e-05,2.08299730362e-05,2.72734548806e-05,3.83679546455e-05,1.58479388487e-05,3.00101803072e-05,3.62001697391e-05,3.17505296044e-05,3.04008881791e-05,1.10960372695e-05,3.89512907792e-05,2.76526119706e-05,1.31329161637e-05
2006-06-01,2.82363020716e-05,2.84620000836e-05,4.94303393377e-05,2.57155684267e-05,4.12380787604e-05,4.1981566316e-05,1.6782370191e-05,2.5237308488e-05,2.26429252507e-05,3.33911929851e-05,2.74366863285e-05,1.57817200488e-05,1.94552187921e-05,4.21599011242e-05,5.2477884209e-05,1.05959301019e-05,1.54056454203e-05,1.37355773404e-05,8.95702013243e-06,7.7369319096e-06,1.88260800184e-05
2006-07-01,1.00259087183e-05,3.65095911926e-05,4.11168569068e-05,6.80259837168e-06,1.69315124244e-05,2.90119603354e-05,6.769063496e-06,1.62526776724e-05,1.10294040496e-05,1.16414183334e-05,1.23126279921e-05,1.14642840799e-05,1.20792799643e-05,2.85832679332e-05,2.35007527181e-05,1.62446778532e-06,3.96275247478e-06,4.89619833388e-06,2.93721595668e-07,9.21853479667e-06,1.36477412022e-05
2006-08-01,5.52734955939e-06,2.88558069694e-05,4.23274886998e-05,2.85198840356e-05,3.07887943904e-05,4.12503782475e-05,4.18163207606e-06,7.59417967498e-06,2.41207410229e-06,1.11622150788e-05,4.18419072616e-05,1.7578496833e-05,4.0351076247e-06,2.13467538374e-05,2.15265064867e-05,4.78743180058e-06,3.75897685448e-06,3.1854935969e-06,3.70282978628e-07,2.32072382265e-06,4.91649731385e-06
2006-09-01,1.29554085504e-05,4.33651301061e-05,2.65220404496e-05,1.13248299658e-05,2.33111337309e-05,2.37628255491e-05,1.04546161089e-05,2.14975290249e-05,5.34514829269e-06,2.57137236304e-06,3.17384587826e-05,2.20021746524e-05,7.66412938102e-06,2.6512534608e-05,1.63117201484e-05,2.59166090148e-05,1.82592001844e-05,9.34922718443e-06,6.62676741326e-06,8.32373146598e-06,1.69522852177e-05
2006-10-01,2.95806998452e-05,3.28334933026e-05,3.40662842063e-05,3.48567506444e-05,5.72362890807e-05,4.22744385408e-05,2.80951397953e-05,8.5193230668e-06,8.18047711846e-06,5.30862821506e-05,5.26252335552e-05,3.71603974296e-05,3.36400132756e-05,2.41415402256e-05,1.55782563019e-05,3.15455434334e-05,3.79270588079e-05,2.88688643195e-05,2.42303449828e-05,4.93534315562e-05,4.23077604864e-05
2006-11-01,3.737778502e-05,8.01926404013e-05,3.81605173364e-05,2.09729004291e-05,3.12555475072e-05,9.16971423673e-05,5.24879340749e-05,5.74283026575e-05,3.49296845343e-05,5.87234046309e-05,4.82982939047e-05,6.42660230369e-05,4.47513615875e-05,5.56071741985e-05,1.75816123576e-05,4.73331611569e-05,3.70973367959e-05,3.19943173963e-05,1.95343820581e-05,5.0410918872e-05,4.11396541819e-05
2006-12-01,2.74968692224e-05,7.36345904215e-05,4.67221469686e-05,6.03003194192e-05,5.21352703231e-05,5.26842214943e-05,6.29596540117e-05,6.82061312123e-05,9.27433048673e-05,3.78912140409e-05,4.92882774097e-05,9.69146899782e-05,2.82742879551e-05,0.000105340314457,6.07174451943e-05,1.41344352241e-05,7.2676814441e-05,4.94794439874e-05,2.06041905585e-05,5.68639634973e-05,2.22069611222e-05
2007-01-01,4.89796358352e-05,5.1822344858e-05,6.94763816379e-05,5.98536491452e-05,7.45670675239e-05,4.14786282514e-05,3.39193130053e-05,5.74228194977e-05,6.80754761561e-05,1.56421158408e-05,3.47631303725e-05,2.77075034925e-05,3.85825471974e-05,6.56003999861e-05,5.11086873303e-05,2.49363760564e-05,4.06246956897e-05,6.64044782752e-05,3.92539397581e-05,8.15685346121e-05,3.56456372434e-05
