time,bcc-csm1-1-m,ACCESS1-0,ACCESS1-3,FGOALS-g2,FIO-ESM,CMCC-CMS,MPI-ESM-LR,IPSL-CM5B-LR,MIROC-ESM,MIROC5,CMCC-CM,MPI-ESM-MR,CSIRO-Mk3-6-0,CESM1-BGC,inmcm4,CanESM2,GISS-E2-R-CC,BNU-ESM,CCSM4,GFDL-ESM2G,EC-EARTH,GFDL-ESM2M,NorESM1-M,CESM1-WACCM,IPSL-CM5A-MR,IPSL-CM5A-LR,GFDL-CM3,CNRM-CM5,GISS-E2-H,MIROC-ESM-CHEM,MRI-ESM1,NorESM1-ME,HadGEM2-AO,GISS-E2-R,HadGEM2-CC,GISS-E2-H-CC,CMCC-CESM,MRI-CGCM3,HadGEM2-ES,bcc-csm1-1,CESM1-CAM5
2005-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9794876849e-05,,7.02426914359e-05,,0.000102804960729,,
2006-01-01,7.37067336039e-05,8.31493906454e-05,3.50164637742e-05,4.25015789006e-05,9.0057048025e-05,4.83377662022e-05,5.43920348199e-05,4.89301755806e-05,8.27720642216e-05,4.16163866794e-05,3.25072564965e-05,2.90111509717e-05,2.25002512837e-05,2.82267137847e-05,8.69728349374e-05,1.49959293291e-05,2.62460711724e-05,7.40574692221e-05,7.4082437288e-05,6.28672957343e-05,3.3847101961e-05,3.51582940412e-05,3.60469930456e-05,5.11433059273e-05,5.42802696925e-05,3.67765472902e-05,2.45927089585e-05,4.36127581406e-05,4.53846774159e-05,5.07642561085e-05,4.7196172621e-05,4.32394631844e-05,3.60225997048e-05,7.26248610666e-05,4.19765542791e-05,2.8838823539e-05,4.02498226322e-05,6.81758109251e-05,6.02164297474e-05,3.69833906007e-05,5.20870209878e-05
2006-02-01,3.98284787155e-05,5.58330071033e-05,4.54999598592e-05,3.49034785662e-05,6.60539873934e-05,3.38334665035e-05,4.85995988129e-05,4.60972737528e-05,6.33794397193e-05,6.92346257347e-05,3.21906506239e-05,5.32519271863e-05,5.32293051427e-05,4.29449913219e-05,6.15705442604e-05,1.98062117609e-05,3.32298056189e-05,6.50263739468e-05,3.46681080088e-05,3.83063775694e-05,5.32402381872e-05,7.39677062585e-05,6.04205815762e-05,3.40335043802e-05,4.09094490481e-05,5.55944872076e-05,4.5749003372e-05,2.72772966946e-05,3.40526040077e-05,6.76285922358e-05,3.39815273892e-05,7.19110585123e-05,3.59056154723e-05,3.28493476331e-05,3.41187827481e-05,2.94751787919e-05,3.1150662835e-05,4.85452353695e-05,3.36066857688e-05,4.7305790334e-05,2.80310108599e-05
2006-03-01,2.33528006404e-05,2.73469596929e-05,4.97999542512e-05,3.88478730504e-05,4.08788701558e-05,3.06433440918e-05,4.07339252498e-05,3.4490156736e-05,3.63767636372e-05,4.99425393355e-05,4.57040992897e-05,4.80429518835e-05,3.7763817558e-05,3.72686236281e-05,4.36146482441e-05,2.8143216332e-05,3.68758284139e-05,4.61707684735e-05,3.83840456425e-05,2.06804234545e-05,3.13174138379e-05,1.37811259719e-05,2.52554455074e-05,3.58934981705e-05,3.85081790228e-05,1.13511742228e-05,3.80597830372e-05,4.4836996849e-05,1.89238528681e-05,4.45750082387e-05,4.57159567088e-05,3.97457885811e-05,4.72261854589e-05,2.07327268337e-05,1.98208233975e-05,4.50953723809e-05,1.38246832648e-05,4.80941099514e-05,3.63995968006e-05,6.82758097052e-05,3.8848984791e-05
2006-04-01,4.13578292128e-05,2.87884748191e-05,4.11668273349e-05,3.51846800186e-05,4.48916461513e-05,3.08062149478e-05,2.53677517841e-05,4.12658491769e-05,2.26251892551e-05,3.13401970561e-05,3.14296780606e-05,3.60874999647e-05,2.03297982158e-05,2.91666377309e-05,3.11794436389e-05,2.23549138961e-05,2.83526770583e-05,5.09441662871e-05,2.5221599351e-05,3.39155894835e-05,2.63899431865e-05,2.56690557055e-05,2.70203800028e-05,2.51358226251e-05,3.09864341034e-05,2.50482542583e-05,3.75099941721e-05,2.12225677933e-05,3.28643641486e-05,4.4892204096e-05,4.54074169868e-05,1.63559690463e-05,3.38439258918e-05,4.75043767854e-05,2.90141937772e-05,3.46364500198e-05,3.89931046811e-05,3.35639685959e-05,1.88898177276e-05,2.48704667077e-05,1.58970535515e-05
2006-05-01,2.94206331871e-05,3.20017618297e-05,3.78538528431e-05,3.61352141529e-05,3.40983744536e-05,2.88785634828e-05,1.63908324404e-05,3.01524911634e-05,3.47854990044e-05,3.31073851339e-05,1.94438740216e-05,2.67865418989e-05,1.94835081597e-05,1.68530944099e-05,5.64420564582e-05,3.43122780881e-05,5.08534643776e-05,4.47368242021e-05,1.8520829089e-05,2.85209427804e-05,3.42176118206e-05,2.1145452643e-05,2.1103898689e-05,1.82255286518e-05,1.0298350948e-05,2.12239087318e-05,4.64973752514e-05,2.51422539804e-05,2.88482538053e-05,3.131846485e-05,3.65506542017e-05,8.97722396758e-06,3.08495105162e-05,3.88077884281e-05,1.39377414631e-05,3.50509943701e-05,3.4909673559e-05,5.64701599615e-05,2.79600833329e-05,3.06249522813e-05,2.5731272566e-05
2006-06-01,1.78624865536e-05,2.20945500257e-05,2.08644780038e-05,2.09051058846e-05,1.86672873194e-05,2.24662221236e-05,1.43981505451e-05,4.57209553986e-05,3.8263859157e-05,1.35633540117e-05,2.82197675052e-05,2.10139168692e-05,2.56641833281e-06,1.90727519043e-05,5.04457412587e-05,9.88856809272e-06,4.17773665428e-05,3.79227635979e-05,1.87499803075e-05,1.66686039241e-05,2.28532297059e-05,1.64330777024e-05,1.86300949281e-05,1.12128087295e-05,5.57357121482e-06,1.86085022733e-05,3.27905426426e-05,4.19267120924e-05,3.1416992897e-05,5.71229834653e-05,3.27832774582e-05,1.98543793772e-05,1.87393914373e-05,4.47249293529e-05,5.80416828098e-06,3.27214818867e-05,2.33180471696e-05,3.21628303503e-05,2.9390150541e-05,1.76391580377e-05,2.45609525419e-05
2006-07-01,9.56072430351e-06,4.98682967986e-06,4.32436458766e-06,2.05434002358e-05,1.88992076649e-05,1.57795746678e-05,2.18278686849e-05,2.12495464388e-05,2.7882850956e-05,9.77518292075e-06,1.50912415443e-05,2.0592893374e-05,2.08444822165e-06,1.58316059017e-05,2.90851017001e-05,9.66054371266e-06,2.82075002265e-05,1.36059643789e-05,4.93136553096e-06,3.75241974595e-06,2.35907349893e-05,1.39131466148e-05,7.58905798648e-06,8.13485125839e-06,7.45409671643e-06,1.3220178771e-05,1.91348673866e-05,3.29879233311e-05,3.67668333941e-05,3.60995041471e-05,1.89732431687e-05,5.14572279258e-06,3.53101794405e-06,5.7876354731e-05,2.66113960633e-06,4.17662190936e-05,1.69565391843e-05,2.14620563776e-05,2.44832909789e-06,4.08996334234e-06,9.5801151497e-06
2006-08-01,2.46343069846e-06,2.00055498666e-06,1.08911777591e-05,9.92355069229e-06,1.17197470369e-05,8.82206784029e-06,5.24404333971e-06,2.9232445911e-05,2.52094791601e-05,1.10310656169e-05,1.20067526234e-05,2.37635037463e-05,2.37990560409e-06,2.49604696092e-06,4.14615731188e-06,4.11892232742e-06,1.83498784073e-05,1.11432318628e-05,4.23632429813e-06,4.81488319884e-06,1.37249219224e-05,1.863377694e-05,2.28400085689e-06,4.65867577262e-06,1.1054633148e-05,1.4993957862e-05,9.97616866035e-06,1.67155483791e-05,2.37659470296e-05,3.32820238327e-05,2.05881647757e-05,7.24972787225e-06,1.33137684943e-06,3.11575483162e-05,2.23227857261e-06,2.12403511455e-05,3.54009171133e-06,1.53277339276e-05,4.44365681623e-06,4.68282867132e-06,3.54271928243e-06
2006-09-01,8.97744687038e-06,4.29246892557e-06,7.29437074857e-06,6.08016880506e-06,3.26224098292e-05,5.94630754287e-06,8.76791974796e-06,2.22594455863e-05,2.38064466127e-05,1.5131093337e-05,2.45692893378e-05,7.49092682132e-06,3.66243736047e-06,3.10881646374e-05,2.51830954897e-05,1.36828610569e-05,2.35259641575e-05,9.82861617255e-06,1.67886996517e-05,1.63033468097e-05,2.68064509355e-05,2.11981247907e-05,7.10728545528e-06,2.27527455934e-06,1.16373790661e-05,1.72802634779e-05,1.74488472737e-05,1.93118084189e-05,2.71421319932e-05,4.32868793723e-05,4.7167046757e-05,2.53134619328e-06,1.40530962924e-05,5.13608444332e-05,7.33104686138e-06,3.88103860018e-05,7.67518940847e-06,1.92087337772e-05,1.71632200038e-05,3.84153059656e-06,1.09867541454e-05
