model,MIROC4h,MIROC4h,MIROC4h,ACCESS1-0,ACCESS1-3,IPSL-CM5B-LR,GFDL-ESM2M,FIO-ESM,FIO-ESM,FIO-ESM,CMCC-CMS,HadCM3,HadCM3,HadCM3,HadCM3,HadCM3,HadCM3,HadCM3,HadCM3,HadCM3,HadCM3,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,CMCC-CM,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,MPI-ESM-MR,MPI-ESM-MR,MPI-ESM-MR,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CESM1-BGC,inmcm4,CanESM2,CanESM2,CanESM2,CanESM2,CanESM2,GISS-E2-R-CC,BNU-ESM,FGOALS-g2,GFDL-CM2p1,GFDL-CM2p1,GFDL-CM2p1,GFDL-CM2p1,GFDL-CM2p1,GFDL-CM2p1,GFDL-CM2p1,GFDL-CM2p1,GFDL-CM2p1,GFDL-CM2p1,GFDL-ESM2G,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,CanCM4,CanCM4,CanCM4,CanCM4,CanCM4,CanCM4,CanCM4,CanCM4,CanCM4,CanCM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,NorESM1-M,CESM1-WACCM,CESM1-WACCM,CESM1-WACCM,IPSL-CM5A-MR,IPSL-CM5A-LR,IPSL-CM5A-LR,IPSL-CM5A-LR,IPSL-CM5A-LR,GFDL-CM3,CNRM-CM5,GISS-E2-H,GISS-E2-H,GISS-E2-H,GISS-E2-H,GISS-E2-H,MIROC-ESM-CHEM,MIROC-ESM-CHEM,MIROC-ESM-CHEM,MIROC-ESM-CHEM,MIROC-ESM-CHEM,MIROC-ESM-CHEM,MIROC-ESM-CHEM,MIROC-ESM-CHEM,MIROC-ESM-CHEM,MRI-CGCM3,NorESM1-ME,HadGEM2-AO,GISS-E2-R,GISS-E2-R,GISS-E2-R,GISS-E2-R,GISS-E2-R,GISS-E2-R,HadGEM2-CC,GISS-E2-H-CC,bcc-csm1-1-m,MPI-ESM-LR,MPI-ESM-LR,MPI-ESM-LR,bcc-csm1-1,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5
run,run1,run2,run3,run1,run1,run1,run1,run1,run2,run3,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1,run2,run3,run4,run5,run1,run1,run2,run3,run4,run1,run2,run3,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1,run1,run2,run3,run4,run5,run1,run1,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1,run2,run5,run6,run7,run8,run9,run11,run12,run13,run14,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run1,run2,run3,run4,run1,run1,run2,run3,run4,run1,run1,run1,run2,run3,run4,run5,run1,run2,run3,run4,run5,run6,run7,run8,run9,run1,run1,run1,run1,run2,run3,run4,run5,run6,run1,run1,run1,run1,run2,run3,run1,run1,run2,run3
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,303.688606953,302.622313724,301.887683097,301.351299948,303.166082471,303.528048611,303.788038553,301.371835961,303.758706335,303.33904108,304.981412661,300.921384519,301.313151854,300.86461051,302.618369504,302.944686513,302.54542922,302.243099247,305.036570071,299.486476936,303.66771868,300.724390594,302.262801588,302.623798357,301.800689342,303.256009718,302.005960865,303.716500674,300.731793517,304.145249871,304.831989164,300.117400842,305.489015601,303.5228495,304.406011592,302.753906897,302.478974629,301.909132438,302.122526956,303.829765079,303.29390059,304.114172793,303.625729326,301.78270164,302.314373839,303.451976007,305.843562649,301.769127984,302.500249111,303.533516455,305.26808705,302.294530251,305.324063599,304.051972244,300.201751987,303.270023781,301.581322202,301.596719203,301.578972239,299.618685282,301.788697145,298.486549901,302.607763334,301.954728479,305.807969429,299.212577083,298.397190869,297.963626064,300.245135059,298.915559545,302.137359075,301.178858479,302.072389699,298.930740701,300.577328494,300.076162816,305.492301608,302.688559497,303.029117622,307.248820889,304.75205167,302.359765808,302.171798288,304.424314586,299.858707974,304.123554497,302.297874043,303.019708002,302.325013209,301.87752467,300.900300238,300.42285679,300.111572266,302.577740971,299.472687647,299.723557426,305.590225741,304.08858108,303.489537376,302.818011037,301.962443177,306.092906145,300.472130064,305.887935098,305.417849699,303.027671166,304.669519683,303.538133576,300.918541978,302.615211179,304.426784757,304.13521704,302.608022469,302.233077715,304.722879728,304.490653249,304.412304892,304.77318061,300.373132139,304.249930247,304.493678561,306.42969651,303.663109141,302.989796161,304.597628922,303.735718066,303.069527101,305.961101852,303.304726637,300.517239937,303.691841591,302.897476223,303.47460432,301.165331102,301.27087696,300.865615713
2006-02-01,300.931770547,302.665421222,304.649797099,300.227255473,302.638197428,301.266340466,303.962634519,301.605423938,302.938539332,303.747936074,305.251416816,299.09766089,299.972422522,299.48887093,300.910215194,301.351879029,299.175709796,298.528019246,302.902874588,302.825857292,302.418018232,302.708176552,302.171001551,301.049761898,302.92382491,301.950528899,303.478778709,302.520193946,301.821772341,303.950160886,303.727252116,300.646183985,305.045377345,304.875448968,304.169740035,302.181541625,301.218992726,301.847439789,301.012200228,302.14484532,304.537932592,302.960350947,298.908221364,301.756674645,302.122981089,302.574290133,304.782607519,299.818961601,303.393210815,300.237373068,302.243551079,302.239197985,303.895043273,302.726530448,303.653795304,302.495947691,300.840227812,299.178266619,302.819872786,298.331076002,301.501131311,301.932689089,303.480822599,300.5288918,301.097285171,299.602802982,297.729265731,299.779432098,300.661454855,297.939557064,297.906974707,298.597582085,300.773525884,298.817441973,301.265968463,298.76932799,305.956116894,303.792577651,302.044788338,303.706916821,302.882774416,301.946081933,301.406537252,302.366433629,300.394459252,301.407445204,301.557746707,298.705997666,300.667729673,301.293625131,300.367054322,299.251795877,298.557495117,301.799475219,298.863152229,299.86766779,302.155868456,302.205238785,301.907210789,301.077358444,303.276573495,304.130712357,300.955950191,304.441763318,304.875668826,302.479675671,306.232657926,301.519432904,300.61858367,302.790383104,304.695130118,302.338357564,303.074316466,302.161273627,304.187330654,305.390245646,303.478038306,302.320476814,300.933337147,302.880880969,305.270093069,304.855230838,303.425948226,301.138945544,303.826752474,305.3850009,299.832847402,305.842580379,303.505071668,300.587540618,302.600257753,301.425644593,303.628377715,301.300723282,299.462106262,302.387026597
2006-03-01,298.558883452,299.697819098,301.264164363,299.749953104,302.424320271,298.683731658,299.254693246,299.827159931,299.902281209,298.984508667,303.927268742,297.002179286,297.21246375,297.717834749,298.588836465,300.910491007,298.38443249,296.541049613,300.195724118,301.065452504,300.487242296,300.883383492,298.822477305,298.753668587,301.746945753,299.499710997,299.960247179,300.15106592,298.487053262,301.227915105,300.345531433,298.585865441,301.094934597,301.780942222,300.340793907,298.675640338,299.952356205,300.705174724,299.083125985,297.563390899,297.109494165,299.711245345,298.484837628,298.305909296,297.9761505,300.036470224,301.79092146,300.63531307,299.665383964,299.187015588,300.099477479,300.499486043,302.249453151,299.917066113,301.3423031,300.897455084,298.749318848,297.061704667,299.4127439,298.321716257,297.436149998,297.323319773,301.312581558,297.736826925,299.82223022,299.005950357,295.266665957,297.980377519,296.422537888,296.282432146,296.073325576,299.100389639,297.151413746,296.665962531,297.923130139,295.735767623,300.301669099,301.327593939,302.03903622,299.769932088,300.62582418,299.013366753,300.137151585,300.241444372,297.505864082,301.20900917,299.757155386,298.317182509,299.428812191,298.981598333,299.152901723,298.558187095,298.078033447,300.525159943,298.994299663,297.229910375,300.756590908,301.845006865,301.25804263,300.140616594,302.539678065,303.0144546,298.116335616,304.32580935,302.019669025,303.921920516,304.875079853,302.652032136,299.276788043,300.226002839,302.171161006,300.844192292,303.643814115,301.922349469,301.695809862,303.019824515,304.306629826,296.969369279,297.64125856,302.711333324,303.607067195,302.841082473,300.71793098,300.853226272,302.551672046,302.193214186,300.057974699,305.19249611,302.483231092,300.170495669,301.13234527,301.153732525,299.611473833,300.59455223,299.853541229,299.055021999
2006-04-01,295.114252214,296.874535677,298.041370891,296.436599938,295.654069533,295.573870737,299.16366725,298.042858333,297.551786488,295.828928732,298.934865838,295.680882011,295.413991134,295.376558897,295.509404237,295.632891115,293.836056906,293.531917706,294.355158582,296.353753825,296.074141779,296.218255909,296.254166856,296.345322413,295.011729692,297.819712287,296.993407425,295.505395821,295.584977539,297.104071519,296.640248565,293.253442882,295.02984486,295.881949399,294.857173852,296.707341595,296.247629058,294.979860242,290.078243074,293.51601361,295.116664741,296.48596155,294.088830255,291.420513966,296.109840116,293.170409103,297.37720649,295.945547571,297.375791708,293.665273141,294.768591622,297.549595997,296.626562366,294.356833249,296.796280065,297.742791903,294.662054096,295.011977365,298.231250186,296.408582289,294.557083967,295.250480855,296.505946458,291.281959432,294.899622517,293.380780512,290.815445392,295.549609037,295.872130535,293.780751465,292.742718557,294.343952022,294.52457979,294.22235103,293.497145718,292.368351411,296.257533769,296.539325376,296.273668467,296.933338879,296.698514456,295.788964658,297.714579934,296.426704638,294.596608153,297.330034531,296.285892495,296.17504402,295.015047882,296.634828399,294.319309082,296.308778459,294.016326904,294.532513059,294.299372233,296.120860342,295.192846907,294.342316313,294.39283441,296.028144621,294.832820845,297.146810596,294.628105977,299.477752846,299.134110528,299.86097686,299.807700924,300.689061666,298.435133033,297.255463517,298.133855009,297.527021721,299.94601843,297.846330968,296.44014741,296.29675046,298.433919294,294.350172502,292.21564749,296.075472856,298.373184396,300.77224153,297.153847246,297.691594442,298.254590656,297.835747448,294.609680393,301.034857725,299.133844085,294.91467288,297.087251935,294.77857488,295.765571768,295.885999628,296.297107428,296.438232526
2006-05-01,291.916539639,292.468282828,292.744365728,291.646748359,290.879284748,290.614309456,294.24711781,292.069141884,293.123615349,293.816310328,293.404410138,289.692215752,291.098897769,288.192418078,289.342512901,290.862626242,288.40188017,292.161969564,292.03318181,289.880979097,289.2494161,293.09584342,292.532391249,291.995581041,289.653480397,292.794893505,291.404664182,290.997929883,289.281082233,291.872587007,292.082361597,288.563560416,291.365235529,292.67089612,290.712795959,287.740877391,290.373516345,286.90764383,287.157059201,287.847136364,289.147397599,287.791575878,286.687004949,286.858518046,290.75643968,289.342882964,292.234687685,290.571995394,290.979687789,289.866574536,290.169759762,292.441385062,291.54662708,290.968033353,290.347380747,292.54299351,291.287952878,292.430029946,291.284557945,292.669336034,289.859949383,289.802932361,291.642961387,289.343424638,290.951706762,290.117332499,288.213212143,289.295935061,290.883873446,288.913296876,288.456518329,290.024467498,290.825180215,289.593006405,289.718165145,288.136144793,291.137036032,291.533203559,293.263069345,293.273545983,292.33534146,288.71091519,291.96802033,290.639488574,290.186703194,293.318562208,291.788804843,291.661636435,290.848311552,293.746173969,291.30727172,291.366467157,290.299835205,292.301125867,291.575275106,291.418451113,288.80261178,290.03350529,289.722114476,290.313406038,288.679440861,293.561648256,289.684198232,292.592337619,294.776534524,291.923364169,295.516352704,293.917520395,292.415984861,292.320934246,293.859743144,295.070129306,293.975086398,292.577206858,291.797537575,292.914790353,294.072906538,290.035435961,290.35415417,290.346398065,295.660398684,292.506885191,292.99986117,291.510243561,294.049205233,291.804419501,289.167467371,294.679867177,292.822099047,291.224315451,292.240520322,291.624045199,292.790994041,292.366865626,292.233589325,291.598747198
2006-06-01,289.358156988,288.249658023,290.784832762,285.670934633,286.901338187,287.876352845,289.030599969,288.322380977,288.188032886,288.994973244,287.872836846,284.239362129,286.313159883,287.724601226,288.571630531,288.841106358,286.609085621,287.870747161,285.931311064,286.281314286,287.248146348,288.563840896,288.205152942,288.012462342,287.450873036,287.423654139,289.102397898,288.081432713,285.154253909,287.352423183,286.613549847,285.349749999,287.401782985,286.362852464,287.802047256,282.948086648,284.263296404,283.360971349,283.543228716,283.662170145,284.477663582,285.818664694,285.131070225,283.869213633,287.719829385,287.324007117,288.154764146,288.535792543,287.376299988,287.34853608,287.032647416,288.709498247,288.982821861,287.245576093,286.246821241,288.962528633,286.872178966,286.066580045,286.628170142,288.176664194,284.838419332,286.004899685,285.030264023,285.60901041,286.871989595,287.753336513,285.437330931,288.342032867,286.613621619,285.894624152,286.530830541,287.739244312,287.209642601,287.03206264,287.597282036,286.392854483,288.683028268,288.839167499,287.942250237,287.861160075,288.212338092,287.524549453,287.745921345,286.381527317,285.964960861,288.301256012,288.11338206,286.871523973,288.422855118,289.207328697,289.779874892,289.039122909,286.984893799,289.1290681,287.561204332,288.335837567,288.099951588,287.184352086,286.133836195,285.05840544,284.315037546,289.078189874,287.053111359,289.157348929,289.434528287,289.887775272,291.10345059,291.754174266,290.362558568,289.523334649,289.57987698,289.416601265,290.106109158,288.067102408,288.530109223,290.477062197,287.583372636,288.369979887,286.057605507,287.826912479,288.633307581,288.112207377,288.563695362,287.839647123,287.423590748,287.065998591,285.819577779,289.004967469,289.043341371,288.30347733,290.575154075,286.862291015,289.065912462,288.224749409,287.66622797,288.640303232
2006-07-01,287.379017898,287.495698155,289.744359674,286.306662546,285.337626202,284.23073828,286.851713177,288.28354596,287.857471047,288.999112296,288.435319037,285.319591092,285.278740716,286.430177275,287.622658727,287.585280653,286.259572749,287.671270607,285.709204442,286.429737514,285.419752074,288.076246845,288.977233702,286.921169925,288.425877444,288.203454024,290.140617555,287.57925086,284.718919599,284.288834232,287.33665836,286.856275385,285.772986851,287.456180505,286.58428544,283.255542501,284.852895221,283.53657764,284.916696786,283.926319135,286.19266979,284.858435699,283.808268342,283.962651707,286.833181964,285.39772151,286.145119152,286.833466976,286.535303912,286.453616819,286.133362765,288.886392184,288.293749702,284.920313165,284.841054878,286.916405202,287.127853387,286.96133187,288.117706789,284.46536019,284.463793351,285.798343386,284.586802055,282.706511992,287.756421539,285.227550981,284.937534111,286.281298848,285.938854635,287.137606673,287.953914446,287.345011821,286.667027008,285.740171806,285.902034654,285.949873304,286.885143266,283.719003819,287.977449597,287.073660229,283.808624808,286.783567625,285.447930847,289.302987821,286.630770942,286.938225947,288.250106236,286.931629037,285.940565768,287.02128647,288.084143686,287.145588971,288.623382568,285.371425371,289.009846807,288.285427723,287.398296661,285.370959304,286.302984707,285.170564582,285.025854591,286.867039809,284.669712337,286.854191881,287.161600889,288.644342585,290.56922471,288.331378928,289.888443186,288.017861045,287.7337095,289.377632243,287.622921751,286.351049048,287.672278479,288.874834481,286.34268759,287.04124501,285.431118468,287.720483269,291.336827543,287.977155544,288.009068668,288.43298927,287.34297997,287.273671013,286.162102496,289.161413845,289.166333332,287.239578416,286.778922888,286.473407455,287.423426248,287.609873191,287.301420418,288.552733531
2006-08-01,289.574726628,288.949290743,291.339375348,289.769879856,288.633541153,287.719232285,291.45068112,289.742560634,289.899267504,290.652194861,290.330148157,288.833034379,289.243194565,289.602559696,289.197726651,289.218256406,292.39242243,289.319561044,288.310116121,286.91594471,287.094772638,287.933653137,288.663582514,290.574166006,290.119259647,289.955177855,291.010013304,288.62691934,286.983085743,290.245097366,288.232995267,291.5623126,287.589487981,287.548982963,288.538698526,287.026848285,290.846930966,285.235297789,287.42688209,286.042214031,288.364234742,288.516328332,288.558130287,286.196849572,288.228065371,286.855899873,288.870935172,287.367520264,289.730296962,288.643180214,288.49133838,291.119801197,289.477842379,289.701818268,287.953294347,289.237614479,291.46679573,289.251101496,289.598281553,286.534382897,284.210685833,286.894348488,289.459355318,287.136872653,291.771823974,288.520961242,288.737210778,287.775336306,287.280598938,289.84461366,290.27858458,290.775010824,287.343912082,289.410558331,288.013366274,289.244506315,289.38538197,287.988217032,291.144823196,288.852542584,288.43105867,287.303619188,287.443300108,287.089149153,288.913939906,288.175423018,289.064666415,289.744096298,288.323474912,290.043032744,288.410372123,288.551886246,289.337158203,288.440301733,290.145043816,288.59182016,288.047958866,287.51035818,286.493467623,288.473804646,288.16744595,289.533997482,288.204875243,290.789543227,289.56578629,291.321427921,290.920136114,289.393832504,289.826245675,290.069533012,289.338187054,288.562827694,289.667362146,288.080267854,288.885556717,291.620334427,291.116224145,290.87654282,288.933571696,288.374466558,293.905233354,290.777483376,290.725188093,290.212173074,292.707392006,287.140475358,288.780130943,290.775060724,288.741731564,287.553099737,288.827279937,287.543531519,289.231018921,289.556338249,290.833580188,289.669210823
