model,IPSL-CM5A-LR,GFDL-CM3,FIO-ESM,FIO-ESM,FIO-ESM,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,GISS-E2-H,MIROC-ESM-CHEM,GFDL-ESM2G,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,NorESM1-ME,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,GISS-E2-R,HadGEM2-AO,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5,MRI-CGCM3,GFDL-ESM2M,bcc-csm1-1-m,NorESM1-M,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,bcc-csm1-1,IPSL-CM5A-MR
run,run1,run1,run1,run2,run3,run1,run1,run2,run3,run4,run5,run1,run1,run1,run1,run2,run3,run4,run5,run6,run1,run1,run2,run3,run4,run1,run1,run1,run2,run3,run1,run1,run1,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,304.220121177,306.65255777,301.20915139,303.893033454,302.747226258,301.574465995,302.483684027,302.214068849,301.495876334,302.972542227,301.812580759,304.642668869,301.402048789,305.303567383,300.061064391,302.125269822,300.617238573,300.254705283,299.915083277,299.967668601,300.668734866,302.56404917,303.779307077,304.151426861,302.017047367,303.76411065,304.903891616,301.581595883,301.379372557,300.523529511,304.794697005,305.004348491,303.306478778,299.882873535,302.551949886,301.969467452,301.736685031,301.630105908,301.477566737,302.951262226,302.491322206,303.280143246,305.099014726,302.03193505,304.129472435,305.884421397
2006-02-01,303.616613131,304.609516211,303.842650747,303.584357462,302.5748355,303.33716966,303.497897315,301.281238242,301.2661529,303.752762925,303.285933659,306.717761141,303.617400522,303.324839213,301.617443449,300.921557206,300.59854652,300.391445144,298.722598911,300.371848964,299.721902481,302.370903664,302.284810058,303.420594551,302.137851121,303.179868055,303.989686342,301.430670208,299.731692761,301.31087868,301.329470061,302.94418152,304.085619603,300.593139648,301.863006346,303.474290697,302.576174133,301.890163729,301.750266974,301.412062749,302.008742971,301.578831646,300.122367878,300.130879766,301.891608688,305.317543265
2006-03-01,300.079806282,302.07007846,298.601648744,300.442956961,300.072851273,299.076592429,299.899193729,298.764795958,299.799659853,301.093419281,299.816895291,303.660100936,302.700804551,299.009045722,299.688571546,300.00845596,300.78701453,298.071266745,297.985327657,298.480607493,296.970778656,297.690681275,298.89991189,300.462291391,297.625507232,304.383734095,301.164228751,302.126023387,297.40548444,300.440938122,299.93598117,299.019442982,299.622819533,298.035064697,299.124973268,298.547787556,301.308265573,300.075400997,299.340841313,300.877538393,300.188488025,299.277704706,296.913831639,299.333644957,298.115201644,300.308225239
2006-04-01,296.313819496,295.665635829,296.432824316,295.255940752,297.951147586,299.829017639,296.177648495,296.270881549,297.022816741,296.056322536,295.693840671,297.400235659,297.934891567,295.252286954,297.113058593,295.142021765,295.042840249,295.564797788,295.052780708,295.304655968,294.810478856,293.573667791,296.209451841,297.604354122,295.067518305,298.503764187,299.006348427,297.297472906,294.916317903,295.672395499,295.817546799,295.330926645,297.735200554,294.442932129,294.200094287,294.335740335,293.874467646,293.889674917,293.236234869,294.573693884,295.631697369,295.006821953,293.761445012,294.685803998,297.23416048,296.726599099
2006-05-01,289.059244286,292.231097107,292.98910408,290.262836995,291.173626408,294.725212996,292.758085261,291.770782484,292.219958346,293.618471834,291.872760415,293.503351848,292.845709624,291.416605668,292.07840383,292.914083689,291.080703743,290.745488963,291.90338327,292.286829419,291.006619071,289.794730753,290.902814536,290.46176692,288.939460649,292.092919753,293.544962354,290.659772549,291.352287981,292.613547961,290.465612133,291.900565471,293.77939938,288.80480957,288.19509275,287.908981847,289.656073447,287.783218156,288.840126919,286.813459393,287.254154698,287.864004953,288.721463643,287.393376697,291.61009461,290.506335759
2006-06-01,287.320801956,287.397156032,287.784340923,289.398462816,289.510539937,291.793861521,287.803430201,287.139907535,286.862952075,290.063221349,289.817581159,288.740639273,291.190328392,288.218567575,289.062108137,287.658711617,288.238478054,287.920966204,288.551685487,286.318125004,286.343085417,284.815701277,286.040673861,285.668691208,286.135605335,286.189043429,287.56184982,287.994866876,288.806440191,289.611401117,287.793867887,289.025773087,288.015014896,287.773925781,283.18218291,283.62774422,283.142954867,283.5173636,284.015663881,283.688506679,283.912875266,287.796642628,282.538844889,284.894677514,287.224079068,285.22159713
2006-07-01,285.943466168,286.483211755,287.460444667,289.534318014,288.716874655,288.755752966,288.247619651,288.4549415,288.070342705,288.031172284,287.000045199,287.772273892,289.875108444,286.747172482,287.991684217,286.762321871,288.493908008,288.095613426,288.196451981,285.379685686,285.680527387,284.927181488,286.046829704,286.391985505,286.046987901,287.798396973,287.369972886,287.915929045,286.119806343,288.903742964,288.052251859,286.969511618,284.204628772,285.678222656,284.34331275,284.298291924,283.498129376,285.319172415,284.130625148,283.797767664,284.715697022,286.653747748,283.020086199,282.666175321,286.822159955,285.584711751
2006-08-01,287.703842328,289.241939257,289.585699561,291.121180166,288.630616857,290.74663865,289.484953483,288.985121834,290.802470226,290.479495893,289.416784002,290.409837423,288.76492701,291.153933463,289.877591353,287.363576596,290.083222545,291.143243511,288.276370322,290.196616532,287.728320208,287.187131037,287.799172129,289.53409622,288.806511662,289.823692666,288.477662104,287.886003118,288.556965457,290.425128748,288.182983755,288.831560968,287.53855617,287.429138184,289.528059439,286.678711592,289.049989743,286.17904159,286.988785562,285.777622952,288.277613413,286.749823864,284.807018108,285.750636805,289.500507924,289.249662359
