model,IPSL-CM5A-LR,GFDL-CM3,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,GISS-E2-H,MIROC-ESM-CHEM,GFDL-ESM2G,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,NorESM1-ME,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,GISS-E2-R,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5,MRI-CGCM3,GFDL-ESM2M,bcc-csm1-1-m,NorESM1-M,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,bcc-csm1-1,IPSL-CM5A-MR
run,run1,run1,run1,run1,run2,run3,run4,run5,run1,run1,run1,run1,run2,run3,run4,run5,run6,run1,run1,run2,run3,run4,run1,run1,run2,run3,run1,run1,run1,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,270.940125714,269.68298206,264.263077301,270.065835236,270.425380899,269.246136789,268.049697465,269.463676909,270.984369404,264.84456536,268.717483815,262.984997809,268.65736052,270.823739114,269.659674686,270.160340442,268.295560275,269.560680923,255.610147606,267.387783947,266.774781025,264.958741987,268.642289283,264.360458596,264.871577055,260.916950157,271.695069879,267.287033891,269.593275751,269.526550293,268.99250971,270.707198817,266.552048655,264.894588196,269.615683164,265.363894416,267.602903471,264.837858136,269.132682501,269.842871508,257.018943387,269.006144309
2006-02-01,269.483244132,273.370560443,269.414258749,269.589956413,265.420348091,269.66944771,268.167565393,268.651965092,272.167537833,267.481122188,262.935531806,268.965745955,268.010284047,269.89983778,271.237672652,267.845652506,268.108493027,264.397305,262.099931038,265.310270423,262.784748455,267.57488198,270.886666909,268.427188652,265.747366874,269.585792808,269.550011257,267.712421085,269.572222965,265.726379395,271.291443179,271.571386674,271.346582751,271.283128327,267.781546553,271.29966155,272.531760777,269.073456938,268.476903515,267.964432943,264.212456224,265.524263739
2006-03-01,268.289350841,275.696753773,271.610125835,270.915639558,271.455114082,274.003688015,273.048940912,271.278279576,273.894125612,269.731355089,267.910988843,272.309284202,270.922718217,273.6214078,270.614187037,272.176139019,270.429148116,268.134694094,269.736923962,270.202072566,265.524088953,269.09018527,271.869054076,271.756460814,274.648525209,274.420585032,269.18367403,272.845583061,271.979799871,271.656311035,271.34980605,271.373132446,274.478529682,274.632342593,271.10244401,273.361722126,269.898777535,268.279799737,272.191519664,273.660951928,267.74855276,270.927047683
2006-04-01,273.269145988,276.417239977,277.611165074,277.053941201,276.768080559,275.30031504,274.586163826,272.233506919,277.505626469,273.59543954,270.268905111,274.078655943,274.285996213,275.784419857,274.993512005,276.578221058,273.305791987,272.437162726,272.479064398,274.743754798,272.977754697,275.455422358,275.834965163,276.09207573,277.948184979,277.209387823,273.46323555,276.264094987,274.893234485,272.177154541,274.441144943,276.464586745,277.526438305,276.607919268,275.508426816,276.377460425,277.80913898,274.08190341,277.873823491,275.51583477,272.709719402,275.429162855
2006-05-01,278.31204347,281.064819507,282.067615583,283.153112172,282.716361515,281.324893982,280.888010467,281.744331536,281.278852937,281.462110735,275.482778894,280.243251911,278.898914483,279.134304713,280.601137705,278.694168145,278.748614571,278.662704149,282.241251077,278.929902162,279.590376762,281.375376649,280.02498391,279.294961234,280.643786996,281.20843934,279.296849881,280.45617543,278.889406917,277.612518311,280.217185311,280.585613104,281.534712591,282.511996623,281.684828155,283.067445709,281.229286666,280.292352547,282.683859351,281.888357656,278.456040402,279.519730653
2006-06-01,284.747185994,284.965768988,285.995456435,287.411372467,286.990840355,287.445314836,288.757512472,286.513178241,284.34410594,287.223571262,279.167504938,285.3767731,284.757367119,285.487940211,286.557187848,286.63355415,283.350602029,282.068618874,287.490783698,284.299748732,284.807447106,285.162487431,281.61390708,285.715106651,287.52586215,285.525952414,284.38943323,285.440483415,282.488513315,284.358032227,282.629120074,287.252755336,285.342558513,285.383525247,285.374275546,285.189897269,284.959448736,284.904540735,284.093113234,282.716629407,283.793036593,283.451151227
2006-07-01,286.138763567,286.824518888,288.406329278,288.889771504,288.95280223,288.755663249,289.297111903,287.880510402,286.942869701,292.773163598,283.32641125,288.557936168,287.647973127,286.772895719,287.133052801,288.640660399,287.464980085,285.574375698,287.940505398,287.257327184,286.731764235,286.08383384,286.75763764,286.755538333,287.376334265,286.715965831,285.492696195,286.008183075,286.163428338,286.824890137,284.282612628,286.620212203,287.413712358,286.974476309,285.995142255,284.385085979,286.574832635,285.128999112,285.67354165,285.007777529,285.147649738,287.961244078
2006-08-01,285.76568082,286.949146086,286.99096962,288.041477439,288.320955803,287.633285627,288.02053578,287.743723699,286.77725566,290.428516906,282.149564218,287.371472697,286.776762982,286.198394999,287.859339614,285.615432768,287.762572994,283.437563902,288.233201298,288.312371773,287.18879875,287.170322809,284.387970766,286.902313123,285.687871036,286.604608173,285.264868595,286.220151746,286.351996279,282.514282227,284.726578823,286.399001049,286.384346778,285.324185529,285.995567323,284.304408387,284.45568862,284.432058453,285.381202279,283.493353852,283.789498335,285.737368401
2006-09-01,284.2460878,279.954911258,282.78335666,284.497097882,284.547775543,284.215063897,286.34961246,284.855301986,284.65092171,282.754821674,279.578517211,283.065328148,282.90831531,282.526719492,280.843870051,282.254083444,284.5107759,277.394194203,281.534967194,282.970726962,280.930392063,281.672171149,282.068946606,282.708075005,282.270629895,282.354647516,279.83810133,280.723936536,280.301726142,280.093780518,281.177134393,280.828013168,281.538885237,280.808360976,281.693420685,279.764315899,281.241906085,281.721589131,281.875842751,279.567931526,278.565570411,281.451977547
2006-10-01,278.155999025,276.560419971,278.850344521,280.103726774,278.778567444,279.400290672,279.951911068,279.273671909,278.538894916,279.331803451,272.856727633,279.402925617,277.667910916,273.815384862,274.752927143,279.561411204,277.369136928,274.420923193,276.160739719,275.01844729,276.41799349,278.479330938,277.505596449,275.949962004,276.47453971,277.254735796,277.97888075,276.475577372,275.034862295,274.063476562,273.882402765,276.91494589,277.252656626,275.54169809,277.01294278,276.454471893,276.376385093,276.120055359,277.1563533,276.897807422,271.376252936,275.855257895
2006-11-01,271.287493107,272.711793997,273.063276881,275.75127058,274.136148148,274.407382816,276.600303593,275.106330359,276.529816616,272.263220931,269.473489018,274.472859999,272.763495758,271.259117891,273.124971594,274.11452857,267.417058053,270.047021694,268.695501329,270.900215649,267.789648596,269.811625848,271.735527035,265.133769848,271.140857893,271.563344636,273.378121036,272.653932148,267.52820564,270.869659424,272.135738524,271.94494484,273.276491972,273.793943178,272.542999654,273.070846431,274.602075194,270.909241468,273.60709713,271.133179947,270.871800694,274.25406185
2006-12-01,271.616510551,269.929209064,269.55988078,273.666377666,271.615160766,268.846132873,273.792075294,269.393894073,271.864057594,271.111701296,267.395678908,270.143326223,262.537948733,268.316116996,269.645782365,268.731381959,272.027405587,257.07556184,261.883557014,263.388293388,266.276136254,263.453401096,266.954773911,266.655911895,263.734515583,267.865751969,266.727735975,267.06842389,271.056496991,264.549316406,267.818400531,263.551203435,270.095227619,268.048263792,270.438605986,268.998545045,269.763993048,269.219730226,271.458679378,269.144751911,259.766948099,273.395451239
2007-01-01,264.032000577,268.192499533,269.400815478,267.894271229,268.369107593,261.98327721,273.371641217,265.271771377,264.375052597,266.769089728,267.039746125,269.039119144,264.857389646,269.379877496,267.563273697,265.907694434,263.148599354,264.407309553,264.555431216,264.524556035,264.107198004,264.737986411,267.768367125,267.439674477,271.441177729,268.76444957,268.741446697,271.791826508,267.131829424,262.330780029,266.520858041,264.555342175,268.126344533,272.365285246,269.433004978,269.183663724,269.723377135,266.377778327,271.045772143,264.746627171,255.933276657,267.303760325
2007-02-01,268.223948756,270.384048617,264.103961745,269.363564897,268.606703726,266.415485519,270.889631361,268.563462501,269.305726025,269.147339594,261.547880379,268.005656019,269.224158236,271.404813911,264.055360809,273.117954765,266.482975038,258.547614303,262.949151152,264.01225665,267.021202372,262.53753226,270.826262137,273.303784175,267.576850764,268.843411005,268.040484995,269.18679253,271.102902101,257.135681152,270.39492199,265.105557275,271.955406299,271.9124055,270.088890168,267.380033944,259.524074903,268.721752621,273.222060132,271.864188449,268.815480713,271.966337854
2007-03-01,266.358554991,273.943521175,270.895199845,271.353354163,273.385297998,266.822329702,270.604638055,268.077420766,275.593591862,267.563581373,259.416557155,273.579403946,263.293097154,274.361766426,269.853449175,271.629859848,267.227635355,269.948871352,267.434547465,269.500185335,269.849506819,270.536393836,275.639838022,269.951996189,275.732555456,273.328756499,273.14735422,271.775292718,272.535167172,263.82131958,273.598899354,270.593898631,274.254674777,273.568787496,273.627204795,270.106645089,268.125720508,272.960508907,269.486157442,274.326044416,266.875347013,270.465881793
2007-04-01,275.532569342,274.100318831,272.683087331,275.402563859,277.581848882,275.583565934,277.853585386,274.126221755,273.835981844,273.372648209,270.090216253,275.836575015,272.495640734,273.287157409,272.349570143,274.754322051,271.639095943,272.113059189,273.631527054,272.165128475,273.321975975,275.27314285,277.607555362,275.900284199,277.492453325,275.049570527,275.332933189,274.911141961,273.417634242,273.713378906,275.95623628,276.571269457,276.990802575,277.787800722,277.777411637,275.588243399,274.35833422,276.498334418,277.356368484,276.154737639,270.080023502,275.450770128
2007-05-01,281.647690837,280.216337579,279.614359759,280.510871702,282.458574885,281.751271092,283.208908962,280.205870995,280.865745617,281.4390783,275.124783739,280.979529977,277.450379949,279.353327257,278.029498898,280.690268557,276.704434843,276.419179621,280.626189358,281.876664316,279.429087767,278.688574888,279.798014674,279.724710657,280.71640241,280.189005576,280.018768271,281.207803263,277.460799052,276.806488037,280.517488808,283.243123267,281.753063511,282.607744228,283.682633878,280.165518501,280.51988698,280.177947651,282.076203363,281.194615813,275.376650495,277.556906455
2007-06-01,283.641381926,284.560617737,288.03629522,286.69079144,287.872851737,288.629238821,289.728439055,286.712189727,284.833614919,286.626645061,281.07282213,286.898588036,283.454256395,285.108901191,285.5906615,288.022588111,285.521455548,282.20555985,285.265967861,284.102116796,284.74402513,285.863573283,283.285977549,285.684367014,287.248814905,287.257798704,283.751061063,283.544855759,285.58729841,281.326934814,286.150462059,284.552101319,284.244643115,286.823023974,284.239672893,283.676498746,283.138026316,283.126329634,284.161674887,285.674231685,281.037893352,284.304537601
2007-07-01,287.284866734,286.503956969,290.710352485,288.535125445,289.490985662,288.146182805,291.059910801,288.019776955,286.396294021,287.009924841,286.598055459,291.444116612,286.242762015,287.039008444,286.728372231,284.84830487,286.207473311,285.693424314,288.013044971,288.400661921,288.255203513,289.449031143,286.505976341,288.297033452,288.729286305,288.837467391,286.286306636,285.651153934,284.420527124,282.9269104,287.484470608,285.963867438,286.21318712,287.031446757,286.705830737,285.610513313,287.274967506,286.039396855,286.814625686,286.832585426,282.394389568,288.102582438
