model,IPSL-CM5A-LR,GFDL-CM3,FIO-ESM,FIO-ESM,FIO-ESM,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,GISS-E2-H,MIROC-ESM-CHEM,GFDL-ESM2G,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,NorESM1-ME,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,GISS-E2-R,HadGEM2-AO,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5,MRI-CGCM3,GFDL-ESM2M,bcc-csm1-1-m,NorESM1-M,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,bcc-csm1-1,IPSL-CM5A-MR
run,run1,run1,run1,run2,run3,run1,run1,run2,run3,run4,run5,run1,run1,run1,run1,run2,run3,run4,run5,run6,run1,run1,run2,run3,run4,run1,run1,run1,run2,run3,run1,run1,run1,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,289.250059261,289.698020398,290.458110591,289.383666481,291.301953309,289.157926391,291.605277174,291.742787133,292.23457724,290.257717865,290.814475614,290.829282906,290.482723607,289.270892261,290.283145454,290.829873235,294.030010632,293.215405447,291.608354954,290.421282398,291.819402618,288.706362745,285.897082717,288.159687234,289.782752757,291.133629493,287.585041027,291.013724175,291.373394376,289.943276641,290.48177903,288.842691118,288.638442247,289.254455566,286.700523062,287.343906658,288.21234985,286.841172675,289.359023261,288.390501776,287.548950453,288.04375912,286.836241681,286.791864776,290.11208357,288.957897628
2006-02-01,290.692894296,290.670262324,290.928843956,290.407246945,291.474426032,289.898757653,292.041751475,293.666510416,291.376887546,290.985853241,291.152168768,290.988609166,290.217040086,291.49561649,291.206413395,293.723715411,292.226597763,293.465884468,292.315328644,294.517163346,292.0686729,290.345000014,287.286014118,287.870332862,289.629761686,289.487540368,289.099994684,291.283207837,292.565843837,291.129889176,289.347974966,288.220837026,289.617911112,292.884429932,288.008161984,287.721341941,289.055222237,289.129593037,288.809721339,288.957051516,287.285805192,289.442107942,288.22237912,287.045048394,291.302660508,288.297060605
2006-03-01,290.114726304,291.6341455,292.891456193,291.090341641,291.700545825,290.824264043,292.969553006,293.612450439,293.798183506,293.867681268,293.187538294,291.849107007,291.479033592,289.482781598,293.268057628,294.53829597,292.542813525,293.778595294,295.150300132,294.490759103,292.113119379,291.447860215,289.402262111,289.581845507,290.34134551,291.540215121,289.906075532,294.337182406,292.824756062,293.052062336,290.041792599,291.453829735,291.61550506,293.445892334,288.595486295,289.995011152,290.373887043,289.457987154,289.928162617,290.420497194,288.781483774,290.152774845,289.105124188,288.139546412,290.547643139,289.168042858
2006-04-01,292.678710329,292.716320711,293.549779188,291.823302156,293.539351558,291.672301212,293.634389024,294.159527647,295.104659099,294.445707752,293.579650918,292.744783582,292.317006952,292.143661415,294.550528543,293.897696861,294.767331511,295.265010317,295.169019543,295.504206944,293.426604473,293.040660807,292.445993177,291.187096759,293.351026719,291.855790012,293.506124941,294.076997423,293.686379917,293.772109149,294.228672037,292.447498505,293.163497954,294.873413086,290.062137536,289.712219301,291.980159546,291.401845493,291.763666403,291.959904603,289.215074559,291.156834044,291.918356829,291.121794007,292.35518676,293.511439073
2006-05-01,294.619673104,295.008607918,295.818788083,295.460898472,297.440483072,294.32312138,296.318486975,297.838347585,296.856908846,296.573261039,296.185937317,294.841237707,295.733481931,296.425427944,296.498696879,296.245932258,294.978894165,296.259142527,296.374935083,296.56825495,297.675064135,295.319711156,294.343823771,293.981196067,294.841965968,294.092091394,295.37951741,296.330912093,295.958609868,295.392439997,295.20984436,295.028654545,297.509309263,296.975006104,292.70317136,292.815159568,294.575799025,294.03980424,293.142652773,293.196320654,293.061250086,293.824440398,292.444299868,292.727561359,295.371663928,295.952985862
2006-06-01,296.92970359,298.339164439,299.060167513,296.210528221,299.254326572,298.147084183,299.454330265,301.605421076,299.843118924,299.497041616,298.166981127,297.1981532,298.297332797,298.644207431,299.046576032,299.195795505,298.565564994,299.643982549,299.452051461,299.372785598,298.602946456,298.142655549,296.710457617,298.624152796,298.3518216,297.468283752,298.063862402,299.507004794,297.279706716,297.005496666,297.092035607,298.841505506,299.109990478,300.01864624,295.221798089,294.893652131,297.781266914,298.811876082,296.875114678,296.422239516,297.29928209,295.380526087,295.999628948,295.052745692,299.248910092,299.15229969
2006-07-01,299.903180047,300.917392702,301.143168097,299.684822375,301.391142182,300.814406093,300.721247016,301.619677064,301.486952447,300.733730074,301.438641815,298.556920271,300.909744311,301.665146594,300.420404762,300.513952232,300.65633496,299.53897743,301.852981635,299.909843673,299.858843567,300.325549837,300.542114512,299.708736269,300.173552295,299.661058761,300.487942439,300.68403736,300.30801106,300.631145826,299.480981418,300.694627799,301.725342109,300.141387939,298.145106824,298.254708062,299.390999192,300.305098154,300.531720965,299.877995703,298.889759927,299.317029698,298.12908756,299.316088706,302.487594327,301.579090149
2006-08-01,300.876709793,302.116536977,302.056491003,301.827352978,301.025067146,301.534537904,300.797104984,301.422166454,301.929627083,302.286892591,300.970279837,299.194976369,300.929661325,300.938530078,301.404373828,300.577429152,301.309152288,300.774625867,301.652492266,300.692659332,300.539984623,302.654687913,300.449498948,300.562856128,301.070328048,299.670591806,300.112350343,301.055140675,301.266641672,301.344915202,301.017544038,302.796627468,301.744502056,301.093933105,299.05971,300.155418309,301.843434498,301.226641455,301.66688471,300.93759485,300.225930754,300.391231241,300.036368956,300.160583965,302.243760624,302.476793532
