model,IPSL-CM5A-LR,GFDL-CM3,FIO-ESM,FIO-ESM,FIO-ESM,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,GISS-E2-H,MIROC-ESM-CHEM,GFDL-ESM2G,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,NorESM1-ME,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,GISS-E2-R,HadGEM2-AO,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5,MRI-CGCM3,GFDL-ESM2M,bcc-csm1-1-m,NorESM1-M,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,bcc-csm1-1,IPSL-CM5A-MR
run,run1,run1,run1,run2,run3,run1,run1,run2,run3,run4,run5,run1,run1,run1,run1,run2,run3,run4,run5,run6,run1,run1,run2,run3,run4,run1,run1,run1,run2,run3,run1,run1,run1,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,279.694828357,280.217603505,279.878350886,278.956284824,281.477370159,278.370118544,280.47339803,281.879096211,282.660837135,278.506176936,280.501987988,279.475346716,280.207804122,276.942529639,278.464698082,278.653571016,283.195906795,282.7099354,280.185241161,278.017073862,281.852257745,279.718645672,277.777464053,279.624011776,280.796682486,279.607395717,278.452675813,279.35352827,279.347696906,277.818579805,281.436737805,277.007690684,280.197556766,278.965759277,277.356525898,278.727551715,277.705426634,277.810717215,278.915988181,279.518895478,278.527756687,279.14556196,277.890111044,277.846010396,280.69520031,279.009171999
2006-02-01,280.981681333,280.653125067,281.946081071,280.42650607,279.06769391,279.761430827,281.467263629,282.993681202,279.809808483,280.415071792,281.322524993,280.713898622,279.396233455,277.619442794,280.829948967,281.597366401,281.642735342,282.959503741,280.892920465,283.799739586,281.270933389,280.765781618,278.454490412,278.386018248,280.015530488,279.792974398,281.686103321,281.249825275,280.632287109,279.984870071,280.012663263,275.902784553,281.591195593,281.363769531,280.08344989,278.718225134,280.277785931,280.252480444,278.81071458,280.146000201,278.759843227,281.990441183,278.551935207,278.835136352,281.3536485,276.283744064
2006-03-01,279.578956197,283.537596435,284.045742234,281.850735396,281.801196771,281.488095359,282.609152071,284.589868386,283.504544594,284.228044712,283.519100344,282.95588709,282.755283783,277.317134498,282.963458302,283.099522597,283.172631518,283.197205775,284.481321437,284.157629348,281.043856492,282.465131759,281.305485504,278.785539625,281.884811313,282.348474414,283.267998591,283.759864658,282.97252634,283.94735207,281.055717325,279.721217016,282.493836873,282.7159729,279.892658025,281.39075814,281.507890494,281.298572257,280.911089692,281.785060741,279.861351938,280.227333386,280.104328908,281.203572298,279.619309357,278.497993256
2006-04-01,284.708261313,284.740482019,284.557912496,282.755654378,283.664411743,284.274851646,285.464271017,285.064887062,286.602339241,286.293022437,284.059105253,284.271727691,285.022251423,282.275111888,283.045315342,283.605056779,285.748008818,286.357099761,285.683234184,286.003750082,282.648679626,284.028272528,285.53665803,283.62454018,285.079556714,283.757166022,285.909490532,286.030575032,284.473480726,286.917859577,285.123962387,281.590053166,283.599392449,285.25479126,282.135281145,282.884950328,283.951634304,283.594403078,284.362978574,284.852039322,282.120164935,282.46597336,283.510179943,282.783270472,282.730501017,284.278775753
2006-05-01,286.432065672,286.195338561,287.753476512,286.232141491,288.93669979,287.46077722,290.241415199,289.938420062,290.133084716,288.478423177,290.767080723,287.367815814,288.878528463,288.658073245,287.706261174,289.803385564,286.903847899,288.409780159,288.742935788,289.38535986,290.005930892,287.611732832,288.614104393,287.945652799,286.908002872,287.458337957,289.722512509,289.751168676,287.55262302,289.322517776,287.446107437,286.201863292,288.494310822,290.492523193,285.656947245,286.897875261,289.098082979,287.802268354,286.063708938,286.613803201,287.681154303,287.930889696,286.10889779,286.198021575,285.727784068,287.869543907
2006-06-01,289.210666924,292.172326245,292.674740976,289.847441372,291.822141287,291.119277343,294.135744529,294.928057442,294.920149039,292.823688533,292.730816389,291.517658999,294.408292005,291.774351936,291.610827731,294.009705906,291.871965615,294.325921354,292.395827619,293.249029593,292.012720453,293.670279559,291.751772406,293.814957047,293.336607808,291.825471409,292.740391277,292.627066668,290.388292578,290.84608331,290.052956862,291.165425994,293.556486043,296.19732666,291.257906441,291.464367936,293.690500755,293.681459997,292.457632509,291.004398465,293.371385029,292.586064264,291.280713727,291.791199736,293.30705458,290.946082572
2006-07-01,293.994038509,294.053068058,296.069026238,294.403738768,295.881269678,295.212886612,297.650458625,297.873159904,297.516291029,295.548851977,298.115869049,293.707243092,298.318532283,296.441149967,296.091760495,297.493061965,296.779501087,297.339800072,295.239560794,296.589379569,296.492352754,296.109224097,295.757800857,295.925475237,295.593441768,295.249263055,296.192736068,296.666208318,295.463100256,295.72659474,293.533262393,295.772905641,297.372158433,298.435150146,295.653423629,295.411280309,296.760063752,294.903120664,295.636916477,296.16266524,295.404838665,295.395727475,295.037938259,295.623279145,295.661671605,295.288368617
2006-08-01,295.816347563,294.634436929,296.321615081,295.246798329,296.930623423,294.944914182,294.397650004,295.776953638,295.655555447,295.76649153,295.254886976,294.132445607,297.22437602,297.023324882,297.140024976,297.194425207,297.484556187,297.968977236,297.262867404,296.379610771,297.60915034,296.518747747,295.783291245,296.241989068,296.003371433,292.816854414,295.549920347,296.350661394,295.861507594,296.041655115,293.019325916,295.783806214,295.826065831,297.060058594,295.5060008,295.481718738,295.596777955,294.499007759,294.362353789,295.647101781,293.899166434,295.284146051,295.156945693,293.276861829,297.70605796,295.427232866
