model,IPSL-CM5A-LR,GFDL-CM3,FIO-ESM,FIO-ESM,FIO-ESM,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,GISS-E2-H,MIROC-ESM-CHEM,GFDL-ESM2G,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,NorESM1-ME,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,GISS-E2-R,HadGEM2-AO,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5,MRI-CGCM3,GFDL-ESM2M,bcc-csm1-1-m,NorESM1-M,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,bcc-csm1-1,IPSL-CM5A-MR
run,run1,run1,run1,run2,run3,run1,run1,run2,run3,run4,run5,run1,run1,run1,run1,run2,run3,run4,run5,run6,run1,run1,run2,run3,run4,run1,run1,run1,run2,run3,run1,run1,run1,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,297.500085119,297.351456814,296.20079028,298.172080194,296.66196468,295.950341123,296.096367186,295.44951379,295.913564133,295.849408103,295.701686832,298.083208141,295.63882245,296.786282574,296.045179648,296.062836022,296.972994596,295.93599866,295.80612253,295.718236256,295.943878844,296.497790071,296.684483519,296.706411215,296.226849254,297.581752144,297.457596427,295.242948106,294.576073512,295.510351509,295.101019575,296.415647293,297.783889671,295.823242188,295.19164222,295.713962548,296.414097331,295.857790295,296.676261736,295.893420311,297.193020298,295.076493055,295.66237628,295.07280571,297.385584341,298.651518441
2006-02-01,298.042061639,298.482337126,296.774508119,297.900159618,296.927107811,296.102839723,296.540878104,296.061042478,296.457190642,295.861149037,295.812413848,298.379156448,296.387127952,296.814081438,296.752055109,295.935914992,297.060529185,296.115583729,296.001488162,295.547478268,296.388371476,296.512168583,296.86176706,296.630043464,296.040027883,298.031959137,297.578499993,295.366218712,294.866631567,295.758479287,295.13740643,296.726327643,297.97168239,296.124572754,295.015061686,295.283348259,296.216502767,295.789116388,295.261260824,295.416351499,296.626576622,295.564348327,295.626399804,294.691349366,297.809427727,298.371200558
2006-03-01,298.185011523,297.089712374,296.55176827,297.882783881,296.916043332,296.697346772,296.673558597,296.782308713,296.701969872,296.15196885,295.694087302,298.785875473,296.834470307,297.099004737,296.369744533,296.16434698,296.782694814,296.290423065,296.003893176,295.700501094,296.014389818,296.226955879,296.781523569,296.946300178,295.729104598,298.444538186,297.373764748,295.754628799,295.024787744,295.866947785,295.246851901,297.128027906,297.711512553,296.052856445,295.009233037,295.476696748,296.124641647,296.021359214,295.515096709,295.775555619,295.992800291,295.116535303,295.068098254,294.906141151,297.803835294,298.84178053
2006-04-01,297.318265977,296.623158344,297.178929781,297.895182871,297.065394082,297.197071322,296.249383325,296.125470744,296.196556353,296.236251472,295.682546449,298.73920746,296.584132,297.070753781,296.473768984,295.660166831,296.62192992,296.171606569,296.205374624,295.600235632,295.813907312,295.919171645,296.790880451,296.360865147,295.793051474,298.716372457,297.463083176,295.637549777,295.205024438,296.182731093,294.839227806,296.597556162,297.844161818,295.599212646,295.197010487,295.398797144,295.853826857,295.289214413,295.598778925,295.424576053,295.642629431,294.90618784,295.190906435,295.077685701,297.80251633,297.94066493
2006-05-01,296.811868466,295.851636069,297.041850362,297.417009802,296.569930397,296.807200387,296.176984622,295.79633541,296.117105675,296.213482345,296.036324126,298.614842058,296.361725059,296.068117412,296.353014523,295.558974906,296.262886756,295.983072471,296.241380721,295.410096295,295.003561394,296.153804097,296.490487116,295.823825411,295.856086394,298.680251238,297.055921417,294.802217446,295.122138153,295.933756055,294.645435273,296.395056305,296.789051452,295.468109131,294.875946997,295.937245707,296.980175356,295.407537086,296.256422719,295.821370131,295.632269924,294.941836016,295.2431616,295.146288993,297.801301456,297.344620656
2006-06-01,295.717761024,295.016860478,296.597535685,297.085440496,296.304428758,296.30119358,295.654960431,295.746919517,296.562465593,296.666771718,295.998480437,298.404340919,296.106527811,294.751466475,296.360885699,295.387246653,295.930360403,295.870562341,296.14554824,295.254391298,294.743408064,295.230376269,295.802867749,295.411724741,295.804477525,298.61458201,296.718997922,294.52763202,294.891940894,295.926044813,294.276319127,295.970643331,296.157279439,294.943786621,295.455596829,296.575111551,296.801732242,296.320802407,296.905268369,296.781302623,296.594508514,295.698667477,296.47790791,295.546176765,298.277632921,296.423459694
2006-07-01,296.116604501,296.027780029,297.102383691,297.424741106,296.147195887,296.324613127,295.934043173,296.71177808,296.90995069,297.27690251,296.259566647,298.788680831,296.119447774,294.272339067,296.318765789,295.72602404,296.32153441,296.537348319,296.451571812,295.549626556,295.050702218,295.886158043,294.928474517,295.090898281,295.372241818,298.682639074,296.0876237,294.305388092,294.857430952,294.967724565,293.879972826,296.398104609,295.948404091,294.944885254,296.031753935,297.1229768,297.507539175,297.730111473,296.904500272,295.997328955,296.729068825,296.03605379,296.585139534,296.327513909,298.329338522,296.047378924
2006-08-01,297.520803197,297.382097995,297.687112697,298.122817038,296.097385792,296.354929378,296.591097602,296.630614615,296.982998244,298.403810616,297.080799153,298.924066529,296.147534605,294.780066822,297.044835914,296.03259267,296.621196068,296.80618959,296.969007032,295.830535041,295.257749938,295.699389248,295.718751321,296.257493739,295.431675597,299.425097208,296.722781719,294.530141401,295.134500442,295.014780049,294.604623068,298.120310777,295.78107932,295.523132324,295.600376645,297.986823623,297.512678943,297.807614475,297.149242887,296.308334113,296.79365205,295.57405026,297.104069269,296.178898121,297.100102397,297.193208127
