model,IPSL-CM5A-LR,GFDL-CM3,FIO-ESM,FIO-ESM,FIO-ESM,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,GISS-E2-H,MIROC-ESM-CHEM,GFDL-ESM2G,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,NorESM1-ME,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,GISS-E2-R,HadGEM2-AO,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5,MRI-CGCM3,GFDL-ESM2M,bcc-csm1-1-m,NorESM1-M,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,bcc-csm1-1,IPSL-CM5A-MR
run,run1,run1,run1,run2,run3,run1,run1,run2,run3,run4,run5,run1,run1,run1,run1,run2,run3,run4,run5,run6,run1,run1,run2,run3,run4,run1,run1,run1,run2,run3,run1,run1,run1,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,272.051659648,275.052767752,276.509153182,273.821675515,275.442211754,276.14761738,272.540062128,272.185272807,271.551536669,275.20383114,271.131978892,271.66764225,274.18460122,269.215718719,275.135098581,274.460056616,275.50484791,275.953772241,270.348620447,272.80588995,273.751303122,269.127431169,273.131988197,273.645423733,274.031700186,273.242183236,275.676287559,273.910785901,270.368343054,273.818726769,272.802170895,272.826973308,273.954048127,278.062591553,269.711640823,272.500287594,270.410286935,268.23700957,269.749938682,269.520564893,271.325203325,271.132077269,269.333060077,272.797249389,269.641404554,272.932739167
2006-02-01,273.613132832,276.054111014,277.384125014,270.684691713,275.339709502,276.108969635,271.665939812,273.788622457,273.29717293,275.579109455,271.502159223,272.912664952,274.33633655,269.920771053,275.831726412,277.26108292,273.057593993,275.663307987,272.22152502,273.167540915,276.740658025,271.651964206,274.042856144,272.369749832,274.218531102,271.888567427,274.282870361,275.186432348,274.683159994,277.828551717,273.94306628,268.258552184,270.841495626,276.262359619,270.650616369,270.721287885,270.913519861,272.693385916,271.112688572,271.335408716,270.633399893,271.649766271,267.860784193,273.986311611,271.826251761,270.237260475
2006-03-01,274.368955032,277.544407323,274.368012621,272.948860371,279.562908618,280.192645681,274.994891531,273.905043824,276.780978157,275.42596314,276.23296001,272.659142162,276.382281957,272.748074335,277.681701587,277.609186004,279.157234256,278.744129234,279.293060314,277.722744501,277.693547112,276.664480358,277.129754257,276.308391705,276.176102391,274.487912786,277.578665204,276.566709821,278.019069506,278.3573453,274.530285414,275.849047864,274.249184867,279.054046631,274.625162064,273.985006716,271.651067436,274.753199006,274.778665772,275.53971195,272.397495842,275.171597548,275.701887067,276.49981328,274.486961416,277.601554613
2006-04-01,279.916039905,278.79448259,279.551671669,278.960288574,281.593072518,281.902750195,280.817503372,279.714338878,280.512829862,281.094316639,281.712319674,279.201797848,280.525868664,279.540223143,282.813520325,281.488024288,281.836578857,281.033113919,283.257093758,282.693132909,282.396388181,280.240843738,281.118376375,282.691125555,281.008124106,279.086078171,283.301236696,281.062821244,281.318653997,281.960379395,279.745064074,280.037821072,277.902921705,281.298034668,277.359286011,280.440183022,279.324224756,277.884590995,279.71401337,279.458827953,279.530675918,280.110150231,278.601568094,281.617356933,279.171002399,281.222072616
2006-05-01,282.475257239,285.180239541,284.351973019,284.798517932,285.510886321,287.468527818,287.209033554,287.979633467,286.836641062,287.427137943,288.469609283,285.564635039,287.475869286,281.615132168,286.147797755,287.587867893,286.970124916,287.169855891,286.589757953,286.736227188,287.235106766,286.889703081,286.605655174,286.579207682,286.958460548,283.285084724,287.553678358,286.362205093,285.217312717,286.302783718,283.523288848,284.310165536,284.282155991,286.955718994,285.147085899,284.999863579,285.52149884,284.137110225,285.230550232,284.787487468,285.978914745,285.932117411,285.666588593,285.501407638,284.51235387,284.498977065
2006-06-01,289.244255472,289.055411711,290.108599526,288.074149942,292.202957875,291.670192179,292.702076221,293.860899758,293.685390975,292.338975889,292.591799306,290.09939884,292.242995851,287.485651518,291.529974692,290.726813276,292.6060908,292.411520512,290.476397968,290.578328397,289.389479073,291.370350469,290.609346582,291.834925107,292.619609219,288.959511773,290.949122546,290.656582909,290.339070588,290.429088551,287.188614958,288.872468019,290.850679907,290.262908936,288.689935549,289.660118407,290.10271489,290.009527426,289.099918081,289.728726752,289.999725983,289.975650348,290.072856679,288.376731518,288.156643673,290.10256179
2006-07-01,291.863167118,292.393168473,292.036394879,290.853056133,291.362743102,294.461303588,295.165635678,297.147211723,295.055283971,296.778987677,294.886820768,290.843013205,294.608072955,289.321155622,293.572929804,294.010052209,295.02925952,295.629675024,293.398830204,293.400488847,291.805764714,294.665153945,293.940367065,292.698274517,295.117878924,291.909095437,292.944606628,293.162038981,291.739238109,292.521914246,290.296291295,290.83719749,290.657041283,293.589569092,291.324818008,291.387691581,292.476269522,292.524273397,292.126228481,292.358397328,293.380200121,292.941931196,293.347958835,292.433387295,292.064390008,293.128842794
2006-08-01,291.493217934,290.186757521,291.805193378,289.524456664,291.770614812,292.940572116,293.532231228,294.675847346,293.909344255,295.409119438,295.071262179,290.092343556,292.388472203,289.51490692,294.478569947,293.288446243,294.267319744,293.876602881,292.303226944,293.663880228,290.455550052,294.5793249,292.556520997,292.166664421,293.512578777,291.329013403,294.327501062,292.7655813,292.751502938,291.820400558,289.526383832,290.51497812,290.919687112,292.194458008,291.311017878,290.485713524,290.489645838,288.200110191,290.973191244,291.407854992,290.769557457,292.544435339,289.634726125,289.712643149,289.593198157,292.426318394
