model,IPSL-CM5A-LR,GFDL-CM3,FIO-ESM,FIO-ESM,FIO-ESM,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,GISS-E2-H,MIROC-ESM-CHEM,GFDL-ESM2G,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,NorESM1-ME,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,GISS-E2-R,HadGEM2-AO,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5,MRI-CGCM3,GFDL-ESM2M,bcc-csm1-1-m,NorESM1-M,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,bcc-csm1-1,IPSL-CM5A-MR
run,run1,run1,run1,run2,run3,run1,run1,run2,run3,run4,run5,run1,run1,run1,run1,run2,run3,run4,run5,run6,run1,run1,run2,run3,run4,run1,run1,run1,run2,run3,run1,run1,run1,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,264.976743462,268.760188237,267.23338416,270.064544966,269.901511472,271.050764853,266.014102575,266.40209316,268.353270731,265.490606054,270.077804594,267.651133052,270.412539972,268.833274864,271.648694356,267.499099062,272.473299377,269.784919757,269.780241199,270.785402231,265.213377706,264.847104499,266.959962629,268.879414971,266.005015145,265.578926157,261.765458603,264.201056494,264.50458735,269.55954663,263.217015563,269.796780583,268.358625382,267.952941895,265.977586414,267.447864714,265.859059901,262.866147574,265.075801867,266.394207838,268.965604868,269.564695238,265.359623313,263.867544551,270.647341866,265.690262795
2006-02-01,267.098020056,269.515007275,273.934659255,272.062142971,275.403108162,275.508066261,266.420781933,266.824535819,267.587755581,262.30712733,263.5268191,268.845853456,272.264176875,264.997889674,269.784991547,272.254617323,274.995893896,274.572937358,270.640263482,271.083947624,271.470264688,268.922127367,271.321947029,271.670795686,267.06619597,267.773355537,264.662875084,266.035363004,269.026538407,273.182119412,264.044182087,273.084645152,265.432145585,270.234344482,271.769290275,269.368815512,269.218096688,266.386882159,268.934050039,267.219681927,268.033251072,264.478743756,263.180376783,270.262876358,271.936217799,267.414936564
2006-03-01,276.713261339,272.43280562,275.013336877,275.856927861,278.198142836,276.615486842,270.142541034,267.511340398,268.670078845,268.898195577,270.095200033,276.359302891,272.715757837,268.861120017,277.751708958,275.765800228,279.667366939,275.259827444,273.258539498,279.160440127,274.00351578,271.169163561,276.748532222,273.409222001,272.894575612,274.694480646,270.467520182,273.389862046,275.617048173,273.621340335,268.955628201,272.443512639,273.236405174,275.894073486,274.249645331,272.861635698,272.797725355,272.179467034,271.444457147,272.375069397,273.159899049,275.15086558,272.019822394,270.655506851,274.327253782,274.056368879
2006-04-01,277.216488369,275.55002191,281.581285467,279.057699663,283.201947033,280.843969762,277.582840639,279.858822351,278.598581004,276.080922236,279.650411638,279.389384995,281.587364044,274.768747368,284.496479104,281.733991395,283.640705101,281.728832286,282.344763809,283.327517387,282.130375337,281.870267617,279.253136424,281.405485566,278.094776712,279.883457418,279.096207448,280.860247817,282.391460804,279.903082546,273.706485291,276.584967843,278.524836027,281.669891357,279.495087876,279.893138798,278.01326206,278.403020141,278.038610465,278.435326875,279.812624879,281.094930063,277.263045845,281.755378991,278.534592469,278.302400644
2006-05-01,284.927346874,282.513444158,285.089669477,287.113162976,288.646659835,287.113042903,287.352838404,284.558861492,286.471878287,284.776789808,286.936974033,286.405791538,288.439543959,281.071329924,288.584124581,286.756487511,288.836848716,286.099407498,286.494613151,287.238171188,284.384744957,285.09644429,286.424958489,286.824408765,283.719958333,285.695610988,285.384436298,287.928127393,288.159975693,286.894449377,280.913596516,282.353994096,284.807040254,285.952789307,284.647617701,285.443353207,284.359715773,283.644059888,285.380462842,284.124061279,285.633089718,285.953302915,283.640459931,284.907703563,281.983389118,284.048593411
2006-06-01,289.87237902,287.809766396,290.967518142,290.713330759,291.572042347,292.563463693,292.69711521,291.380989741,292.21288541,292.107416378,291.203518342,289.172432097,294.307595129,289.667116472,292.14064403,292.401725387,293.795448255,293.558401189,292.806217929,292.980516795,288.161160964,290.466570477,291.566168933,291.458987688,289.298162806,290.183287117,289.225032977,291.35137163,291.898342476,292.761766935,286.55857336,288.564560992,290.574955878,291.184844971,289.560678822,288.752508845,288.848230058,288.544635213,290.787184318,289.610263522,289.603769969,291.014826065,290.437580096,291.566520396,287.05758632,290.252039825
2006-07-01,294.55317834,292.283670939,293.838393033,294.590679469,295.549470082,296.529899231,294.367345515,295.121242625,294.882421164,294.42996633,295.283861133,290.931162731,295.684093879,291.016872945,296.245804981,296.590046265,296.349842471,296.755158567,295.848007134,296.046593011,295.896504338,293.098306849,294.389441357,294.322579823,292.117978596,292.689528603,293.617040527,293.287851971,293.768464411,293.977266654,292.066578584,290.591916612,293.058359994,294.968139648,292.378132131,291.915954766,293.391056484,291.219991522,294.607446701,292.499859093,293.298396799,295.198705279,291.438793295,293.325371324,289.807682155,294.470431866
2006-08-01,293.842029002,289.508527972,292.703819191,293.106614267,293.431447206,295.120080301,294.888012163,292.739048758,294.332925006,294.511548345,293.290111857,290.0446961,294.768246533,290.247225035,294.823868295,295.251907839,295.262954397,294.642787429,294.413609228,294.324001078,293.866447215,293.475288749,292.235558985,292.451021673,292.246441487,293.012182301,294.053560232,292.359418185,292.171980844,292.13298215,290.852871404,290.553335409,290.411052403,293.527038574,293.543707239,292.050040737,292.384924767,292.028708143,292.128727995,293.025546835,294.52933934,294.430869449,290.022488102,292.959512453,292.074585217,295.615107831
