model,IPSL-CM5A-LR,GFDL-CM3,FIO-ESM,FIO-ESM,FIO-ESM,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,GISS-E2-H,MIROC-ESM-CHEM,GFDL-ESM2G,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,NorESM1-ME,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,GISS-E2-R,HadGEM2-AO,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5,MRI-CGCM3,GFDL-ESM2M,bcc-csm1-1-m,NorESM1-M,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,bcc-csm1-1,IPSL-CM5A-MR
run,run1,run1,run1,run2,run3,run1,run1,run2,run3,run4,run5,run1,run1,run1,run1,run2,run3,run4,run5,run6,run1,run1,run2,run3,run4,run1,run1,run1,run2,run3,run1,run1,run1,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,275.674785516,275.210156158,275.957402274,276.327633934,279.424222979,275.233014658,275.673038239,277.509350879,278.921905967,273.814805332,275.852738508,273.545152276,277.513344589,273.161324957,274.090407249,274.246143333,279.787324217,279.699841493,275.965871921,273.332554739,277.904522271,274.892781986,272.428309089,274.289185216,275.569258026,274.1453371,271.201189601,275.021494947,274.32924868,273.536939654,277.719042668,272.688204775,276.141783796,274.370727539,274.284387506,275.979743705,273.678022195,273.289324552,275.690254508,276.983587914,276.007089366,276.479367128,274.68560579,274.908677142,277.828515914,275.799564058
2006-02-01,277.555308082,277.093943448,279.642123605,278.331253058,274.835968299,277.398444923,277.081177813,278.24935795,275.715694814,275.590521843,276.540106436,276.211571538,276.785463633,273.146920369,276.504201788,277.477865979,278.367751614,279.734295801,275.922297996,279.70043404,276.300133267,276.600349926,273.841638883,273.123734554,275.794744627,275.037870524,276.35482298,277.708893025,276.731582071,276.725521626,275.226467028,271.143447134,276.866186194,276.489837646,277.690084971,275.806321005,277.739420266,277.901171322,275.512709423,277.67770974,276.233716466,279.425400356,274.990537972,276.277167667,279.11314475,273.184326268
2006-03-01,276.040185706,279.794257633,281.441752007,279.638702873,279.656295462,279.378405229,278.887675127,281.747719969,279.950045198,279.921190579,279.43655589,278.308672698,280.145875705,273.439211077,279.848033866,279.42021425,280.463239858,279.797108895,281.431151632,280.394853594,277.20783728,278.657959753,277.652162144,275.180309422,278.59061866,278.246387143,279.826094447,280.277238987,279.617956929,281.607627904,277.277027552,276.64735359,278.473173396,278.282043457,277.545101189,279.376267308,279.698142966,279.420043622,278.204244882,279.676658068,277.173073491,277.761540859,277.896636068,279.375599633,277.317747941,275.809552133
2006-04-01,281.303430735,281.7656658,282.643749596,281.25680313,281.601061086,282.978748483,283.416163901,283.521981261,283.228249328,283.312241661,281.231453807,280.924287347,283.678722246,278.246669627,280.650529712,280.445705574,283.419398914,283.815860929,283.700234353,283.117807096,279.299763473,281.354926146,282.677586352,281.239922903,284.007088766,280.524048731,284.271158745,283.032727723,282.761498543,284.809621339,281.595833578,279.662178682,280.364619503,281.794921875,280.38111967,281.376330494,282.203609211,282.000548298,283.138795004,282.966540619,280.921913374,280.728460111,282.296888941,281.343710295,281.517628056,282.09812701
2006-05-01,284.751645923,284.315352278,286.748004384,284.834987607,286.352492782,286.929332036,289.305964713,289.242096775,289.037483831,287.752752611,289.910178488,285.237550287,288.003014277,285.481903188,286.263970074,287.495515358,284.858009926,286.364833362,286.424480823,287.046177411,287.275945493,287.194512247,287.880486181,286.868437507,286.663759714,286.079618637,288.798065499,287.678010885,286.437411428,287.979770965,285.228501423,285.303088715,286.775070059,287.527069092,284.465152828,286.145366185,288.319239209,287.256384006,285.156334313,286.109045838,287.101603931,287.469667477,285.526234323,285.495299011,284.762351657,286.358258604
2006-06-01,287.789046698,290.370082125,290.130261041,289.343644315,290.783364052,290.127411637,294.035646703,294.219851793,294.453828355,292.901314308,292.859155041,288.469723651,292.769321048,291.127484183,290.543562034,293.386332289,290.837805998,293.332189995,291.942953785,292.298417301,289.832161314,293.949168907,291.291561115,294.266030896,293.340119804,289.458324448,292.722604697,292.293254159,290.36848873,290.156518738,288.318348464,290.866272497,292.331517511,293.531341553,291.378331399,291.950431994,293.936870415,293.806929929,292.510461663,290.976266033,293.76374053,293.008680795,290.780961615,291.210528764,292.190122064,289.875348236
2006-07-01,292.373037576,291.95766221,294.511029433,292.402657711,293.785745083,293.559772453,296.97185323,297.535070298,296.84152877,295.838659894,297.610534259,291.919264225,297.04554091,295.256872976,296.039378348,297.231074041,295.965924859,297.087785829,294.971866591,296.500494019,294.457121426,296.987294341,296.846813578,296.146636658,296.04873988,293.794648988,296.607028707,295.937700893,295.180338582,294.991075252,291.582127664,294.48304748,297.347052757,296.616882324,296.349820927,296.383491765,297.364481508,295.980831845,297.012831493,296.521623278,296.841527226,296.830205156,295.757338119,296.490451217,294.372803814,294.494101622
2006-08-01,293.886603281,291.989398704,293.855456735,292.728040134,294.123133455,293.382409071,293.313576757,295.051498217,294.645625898,294.994095458,294.847912548,290.940030267,295.233452359,294.004148328,296.367566282,295.967691815,296.550604977,297.850294884,296.241822018,295.704985921,295.328588068,297.3309104,296.998150588,296.032867231,295.989414015,290.267295766,295.481429005,295.423133999,295.042626105,295.091889279,291.084067488,294.400427348,295.114033888,294.225646973,296.109977307,296.513620482,296.074493907,294.277234474,294.794918682,295.728675741,294.392390252,296.395404487,296.131512421,293.563320636,295.784285476,294.393478708
