model,IPSL-CM5A-LR,GFDL-CM3,FIO-ESM,FIO-ESM,FIO-ESM,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,GISS-E2-H,MIROC-ESM-CHEM,GFDL-ESM2G,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,NorESM1-ME,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,GISS-E2-R,HadGEM2-AO,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5,MRI-CGCM3,GFDL-ESM2M,bcc-csm1-1-m,NorESM1-M,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,bcc-csm1-1,IPSL-CM5A-MR
run,run1,run1,run1,run2,run3,run1,run1,run2,run3,run4,run5,run1,run1,run1,run1,run2,run3,run4,run5,run6,run1,run1,run2,run3,run4,run1,run1,run1,run2,run3,run1,run1,run1,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,299.321400661,297.844554448,297.774590993,298.817863315,298.340996288,298.371386576,298.207303223,298.321756621,297.615243902,298.760430224,297.907363606,300.349897086,297.928235324,299.183802091,298.589548406,299.511755089,300.012036673,299.298243186,298.896194968,299.725533687,299.763226636,297.002605097,298.435385921,299.60242591,297.81455726,299.514929887,299.208981016,297.586420854,297.287132169,297.96704213,297.107631309,299.266934708,301.369881541,299.042633057,297.634704975,301.63151762,299.337930478,298.336666858,299.315588967,298.636602155,299.750483018,299.773214575,298.137607336,299.068171394,297.535646136,299.07059563
2006-02-01,298.624243879,297.681008447,298.29479461,299.151162076,298.693905804,298.188500682,297.875939192,298.505717527,297.516917033,298.01422901,297.874510608,299.874555426,300.074796147,298.806953546,298.976618752,299.297104762,300.327289418,299.502384594,299.10604385,298.950818176,299.825823017,297.343886803,299.197945383,298.271941865,297.371216397,300.066018309,298.655952192,297.606494636,297.41950294,298.165304497,296.382139178,298.799571607,300.499315903,299.018066406,299.54836818,298.821234885,298.721663776,299.457739906,298.487584353,299.805489062,298.331655748,299.135173339,297.656101371,298.291753166,299.575562736,299.479075301
2006-03-01,298.593673837,297.305950662,297.491475415,298.896170876,298.169107841,298.624731826,297.43091289,297.865268164,297.61834274,297.759848745,298.060584013,300.185557995,299.218031183,297.553982705,298.623277351,298.737801485,299.121743187,299.069268682,298.919431076,298.62614422,299.489800422,297.212393766,298.919192815,298.0534526,297.134075272,299.841888435,298.63333561,298.307491152,297.340011874,297.434753339,296.692447831,297.848586013,299.586955757,299.720703125,298.443354705,299.205169122,300.039893398,299.740858704,298.999333125,300.538181163,298.864112778,298.576729326,299.006230395,298.769424273,297.866411832,299.482670018
2006-04-01,297.699630044,296.463358074,296.464794261,297.548901149,296.320298114,297.218610712,297.283898458,297.181830252,296.819990156,297.62543594,297.097353403,299.978285878,297.173942466,296.07007896,298.832608506,298.155126391,298.376026513,298.666857443,297.67715156,297.487328254,298.961940143,295.616706794,297.317558316,296.335995549,295.901945205,299.95667278,298.043318393,297.37041706,296.460313025,297.832948316,296.69409013,297.251505302,301.670039253,298.329650879,298.036415506,299.801670795,298.31126224,298.193242454,298.409493456,300.34935886,298.588672918,299.532539261,298.097308741,297.411630951,296.80505207,298.391369943
2006-05-01,295.569808051,295.895675277,294.440342677,294.661566449,294.563858584,295.663371466,295.374996827,295.216953876,295.1316514,295.637503835,295.510646669,300.148485113,295.935692184,293.823626605,297.297181435,296.085717431,297.361620034,297.073206271,296.706501101,296.55744186,295.917165326,294.137651596,296.399492413,294.679057891,294.644940503,299.802367376,296.525150543,294.859788259,295.486928892,296.434854945,296.037050987,295.520111155,300.161137913,295.986358643,296.023959851,299.268686688,299.525365948,298.078149265,298.530898264,299.158071615,298.075332749,298.641654097,297.015555057,297.069242914,297.592939678,296.237980343
2006-06-01,292.455687675,295.513357805,292.77729314,293.031869782,293.295160036,292.32701741,294.339903335,294.175366886,294.573898014,294.673174591,294.630795931,299.147372658,292.960722312,293.294143935,296.594905572,294.787273304,295.945099922,295.520313724,295.31730761,294.851822213,294.928812519,292.089297431,294.84840448,293.257665346,293.397686209,298.476223429,295.652629765,294.293529963,294.898742901,296.698889458,292.506402453,295.771149678,298.259124879,294.819854736,296.187807015,298.591706653,298.130602022,297.025971896,297.939773667,298.151909845,298.042948418,296.970512489,297.044918252,295.66492798,296.296474118,294.47888431
2006-07-01,292.261662771,294.901442645,293.794671127,292.684062609,292.884679251,293.420860664,294.109717846,294.437461356,294.821768182,295.268839818,294.704164123,300.306451353,292.684801144,293.57125396,296.09170345,294.931699378,296.000353189,295.931899512,295.571522262,294.695288507,294.460883546,292.422529675,294.242256323,292.943496434,292.981299876,298.006814184,295.201887525,294.367785437,294.98467173,296.23783149,292.644222507,295.166326932,297.835046924,294.003967285,296.38860523,297.369707823,297.625166262,297.196982469,296.718572867,296.72444726,297.987138091,295.477613978,295.241970497,295.446038371,298.117033799,293.094014228
2006-08-01,293.596529089,296.820140184,296.21404578,296.649943855,295.209913449,295.771295861,295.974583594,296.283421789,296.732158905,297.056107943,296.054890395,301.191961579,294.909834189,296.216742197,297.22357205,296.509756024,297.432195836,297.979352849,297.529895133,296.420190355,295.346572737,293.696474603,296.001568249,296.386326039,294.631174431,301.785156502,297.001500506,297.393439226,296.67425788,297.289337417,293.621179504,299.064607505,298.428432777,295.767242432,297.909010233,298.970119144,299.479492999,299.457261474,298.006330071,298.080161146,299.096102139,298.182015244,297.623004578,299.031618255,296.587500261,294.895678541
