model,IPSL-CM5A-LR,GFDL-CM3,FIO-ESM,FIO-ESM,FIO-ESM,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,GISS-E2-H,MIROC-ESM-CHEM,GFDL-ESM2G,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,NorESM1-ME,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,GISS-E2-R,HadGEM2-AO,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5,MRI-CGCM3,GFDL-ESM2M,bcc-csm1-1-m,NorESM1-M,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,bcc-csm1-1,IPSL-CM5A-MR
run,run1,run1,run1,run2,run3,run1,run1,run2,run3,run4,run5,run1,run1,run1,run1,run2,run3,run4,run5,run6,run1,run1,run2,run3,run4,run1,run1,run1,run2,run3,run1,run1,run1,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,295.280289608,297.356426793,297.580602318,297.259974099,296.797652108,297.01045851,297.299365874,296.824615625,297.128689737,297.543533005,297.383106817,297.409605314,296.67059689,296.853743855,298.40858774,297.914651933,297.485144472,297.396710614,297.619813265,297.730012981,296.709425439,298.173394559,298.275036952,296.579373992,297.371070699,297.023781269,298.444288494,298.055783038,297.388330573,297.793450924,296.355836588,296.867379303,298.313080856,296.62512207,298.518117462,297.93526281,298.153481152,297.709491599,297.047416178,297.954105004,297.937242044,298.099223506,297.543603825,298.025018038,297.581174614,295.972120845
2006-02-01,295.04119356,296.36369883,297.131166597,297.097018126,297.314647265,296.439710793,297.416553485,297.164813614,297.883846902,297.396492465,297.504917479,296.734469277,296.840784501,295.864850015,298.090609685,297.667557085,297.579258569,297.553327001,297.823128032,297.167726715,297.087294818,298.02165798,298.617491317,298.235367628,297.727519307,296.983441497,298.179979967,297.274692853,297.506767044,297.683173721,296.705975495,296.809593325,298.056638974,296.433746338,297.964818332,297.485004758,297.57490614,296.802973056,296.716053617,297.820201236,297.908978989,297.307288722,298.039989939,298.305334108,297.384256222,296.870321734
2006-03-01,296.465666224,296.147173395,297.66745133,297.834367866,297.670123033,297.353089992,297.493965101,298.101726963,297.889813384,297.106739029,297.799226801,297.699285604,297.136776521,296.925603478,297.876735782,297.869608238,298.06109643,298.409816877,298.109609161,297.511539181,297.4268211,297.558592455,299.01991659,298.405722929,297.682471533,297.483117815,297.907214846,297.784564496,297.568942459,297.296596025,297.765839868,297.017982701,298.414194672,296.939666748,298.416272401,298.341012476,298.352038147,297.720788458,297.796653126,297.947960011,299.020699262,298.303463411,298.029715066,298.523516086,297.957459214,297.068580678
2006-04-01,297.562467801,297.106607147,298.770660834,299.354119549,298.661282097,298.602252451,298.972455098,298.781822891,298.44629945,298.638173034,298.074587229,298.16243395,298.229106233,297.392572783,298.750874653,298.768686024,298.426342759,299.031135864,298.324150479,298.325078716,297.939720406,298.425076554,299.139454321,298.773637058,298.447916336,298.77392087,299.005325527,298.305218672,298.471420185,298.397788084,298.423106229,297.867197438,299.354297778,297.480926514,299.655608609,299.596042196,299.841353693,299.075113801,298.516870778,299.28681178,299.944705712,298.608482079,299.223194381,299.205388918,298.505677775,297.695256832
2006-05-01,298.062123156,298.972649013,299.970917603,300.015657868,299.505081528,299.466532462,299.451903,299.612662304,298.930501961,299.301710063,298.607829002,298.878763028,298.833290348,299.084208037,299.436919898,299.780242274,299.951363147,299.950039563,299.750836867,299.498373491,298.665318674,299.434656865,299.772350514,300.233282287,299.752011974,299.697212902,299.155171295,299.432644316,299.33530211,299.099893838,299.252603127,299.228093567,299.825805843,298.212860107,300.877021038,300.601481988,300.884691602,300.631395171,300.037204964,300.648301389,300.622622805,299.944040544,300.65426726,300.689699132,299.868009731,298.633201237
2006-06-01,299.82852914,300.09455458,300.247641013,300.560626599,300.29380811,299.99449957,299.573387098,300.059175906,299.42081984,299.57567643,299.656893534,299.274528429,299.332493593,299.737160707,300.332960588,300.330645461,300.713540929,300.538240559,300.536067014,300.342936702,299.517139829,300.097668272,300.488946905,300.713264045,300.414355318,300.14682754,300.877477995,300.246757276,300.349697773,300.196177103,299.470278385,299.851193964,301.141121164,299.088562012,300.965672648,301.19572407,301.462396939,300.982239876,300.781645503,301.412442134,301.251511539,300.791635705,300.81093139,301.256129754,299.670029396,299.326018198
2006-07-01,299.673220756,300.719671678,301.015266768,301.161403842,300.485143747,300.334418731,300.188571586,300.490803457,300.055570126,300.329165023,300.004786334,300.188833625,299.837603006,300.667780161,301.037970696,300.881294013,301.38395406,301.400048496,301.33817258,301.042417744,299.510361789,300.664942044,300.606044084,300.730211415,300.587243069,300.814652516,300.804823439,300.893040375,300.880397455,300.880660679,299.632835999,300.725514037,301.983644712,299.428009033,301.853794347,302.117769372,302.485693164,302.032477324,301.857738681,302.187969859,302.258866659,301.625518134,301.591462054,301.928594323,300.090053686,300.039489458
2006-08-01,299.965955362,300.961658916,300.982904673,301.368410914,300.681631781,300.666540175,300.702827689,300.6886358,300.617715302,300.385259937,300.604229422,300.628473119,300.112882303,301.040846303,301.257403626,301.12429702,301.500602772,301.687649806,301.339501952,301.215623473,299.763572469,300.97631877,300.876258188,301.145657265,300.925450212,300.975472969,301.4370038,301.105849774,301.140805092,301.310289703,299.795195058,301.255675101,301.920634679,299.593383789,302.326138033,302.64643381,302.849135718,302.607613087,302.512295582,302.506179862,303.079819365,302.245111778,302.601723364,302.598622712,300.757656528,300.175734931
