model,IPSL-CM5A-LR,GFDL-CM3,FIO-ESM,FIO-ESM,FIO-ESM,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,GISS-E2-H,MIROC-ESM-CHEM,GFDL-ESM2G,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,NorESM1-ME,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,GISS-E2-R,HadGEM2-AO,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5,MRI-CGCM3,GFDL-ESM2M,bcc-csm1-1-m,NorESM1-M,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,bcc-csm1-1,IPSL-CM5A-MR
run,run1,run1,run1,run2,run3,run1,run1,run2,run3,run4,run5,run1,run1,run1,run1,run2,run3,run4,run5,run6,run1,run1,run2,run3,run4,run1,run1,run1,run2,run3,run1,run1,run1,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,250.587078293,252.329458171,254.466462387,251.546311674,258.775545864,257.435354452,249.687271906,255.002250956,253.876184611,255.658327162,253.545867251,256.195328061,253.163775734,253.26975992,254.325780702,252.764063364,255.564934326,258.043454986,247.583317206,252.515743459,252.158660964,249.124506746,248.21774264,245.220707267,250.278345133,258.925199989,245.011047528,250.966057737,244.974369856,250.403194423,250.548782932,256.484583648,254.155893287,248.891921997,250.696928515,250.615641778,245.947829459,247.784041475,251.43209514,250.726367137,251.145359519,249.032047058,245.932807503,249.935180685,253.954179763,255.246486493
2006-02-01,253.641879434,254.031894958,258.221434051,260.33739153,256.297460985,258.020650633,256.825348016,254.068069297,258.40453864,258.461115167,254.481884168,254.974051092,252.28320104,253.413236171,259.010482013,253.236360516,258.091836162,258.571445344,251.424614359,255.443335367,260.099049393,246.96504066,254.200629384,245.413534529,252.33630554,256.131170645,249.307339589,255.4954772,253.033372266,249.894192846,256.694415899,256.762788643,254.848052802,259.44631958,252.652278397,252.711887708,252.483484714,252.851919422,252.975206772,255.391571736,251.603375139,251.121318578,252.58219385,254.622362513,258.36794832,255.027884075
2006-03-01,260.556342481,263.192438889,265.047930398,264.377680888,266.154894248,261.169694867,258.757994888,261.074060569,261.872591601,261.084987229,261.703083678,264.427270503,261.112592758,257.162971778,263.543999048,264.331740654,264.251704232,266.520018833,261.152175363,257.44427498,264.661389054,263.642764242,259.668770097,257.685645191,263.223403569,263.224811589,258.605571016,260.346119263,260.993118775,264.157170484,262.194196926,260.402704823,260.845979047,265.117462158,261.361826062,262.920775159,264.853704576,262.709850658,261.703298449,263.127577704,264.92412486,261.879101649,261.013525689,260.987494604,266.635077766,264.572191652
2006-04-01,271.359289353,267.871443014,274.15966148,272.988349448,276.604378128,270.210172537,269.374754782,268.765800447,269.512821572,271.925516991,271.254991561,273.043847182,273.162315269,269.170736011,275.187659309,273.137318631,268.937531742,275.535125112,270.765377831,270.657389966,270.856893266,271.425724495,269.237168188,271.449521679,273.263554199,272.553889579,272.155488159,271.856719487,271.823369033,274.331424463,269.402586468,270.278820409,276.362549092,272.141021729,273.679503338,273.129266859,273.997042929,273.125050952,272.747818684,273.802439242,272.718275907,272.37390867,271.14419615,273.903746915,274.070299191,270.975119572
2006-05-01,282.699032627,276.530883075,281.900877642,282.144997642,282.487921996,280.906756005,280.709073205,278.463208415,281.088827773,281.441845813,280.663638962,281.334785063,283.100670631,278.668399818,281.455630189,280.054877254,279.857436271,282.492694732,281.455931751,277.884824776,278.684246241,281.43121815,280.29889609,281.329154554,282.881483147,280.525785949,284.399267437,280.870471604,280.218011046,283.132084889,280.080713645,279.634177776,283.220354585,280.211181641,282.312973575,281.792991504,282.807339516,282.177694672,282.614816252,283.031717068,281.324909975,282.289538914,281.113034418,281.064296368,279.711222518,282.017104669
2006-06-01,288.991653479,286.03719025,288.401432812,288.120167188,288.075758703,290.071799361,291.227920499,290.82511009,291.308630502,290.572099994,291.274915515,288.32132562,290.547634169,287.447191525,289.984079877,289.281916259,289.070945433,291.600068261,290.133308086,289.705073692,288.1198932,289.502509205,289.94378054,289.826864884,290.774868891,287.937671886,291.51896497,287.263060379,289.3085889,288.27433832,288.356993132,286.634146312,290.245574318,288.949615479,290.80547777,289.84959285,289.755008719,290.375304913,289.876930296,291.225737658,291.060180101,290.306965979,288.993832624,289.710071479,287.296359465,290.020590836
2006-07-01,292.171016199,290.863504336,290.080676623,289.020252801,291.376443795,294.848433602,295.316215794,294.162927439,295.299328078,294.237246532,295.126926261,292.255179371,295.032595203,290.077476656,293.982482854,292.841668445,292.936507824,293.417087206,292.963814442,295.272763816,291.322454965,293.141400747,293.253977008,292.66653246,294.302880968,291.219835832,294.075804838,292.222373348,292.200167245,291.98053719,292.120443908,289.810215678,293.208566954,293.060852051,292.683008564,292.032752407,292.923925243,292.106768097,292.479446976,293.332094172,292.380327292,293.234495058,293.859849574,292.391565481,290.715622951,293.048546925
2006-08-01,289.719659259,289.423069509,288.306661219,287.427376061,287.670161036,291.816658793,292.720066511,290.513966085,292.033973204,291.960485151,291.664804536,288.487931437,291.381410853,287.158847221,289.142823406,290.330311864,289.307050415,290.948527254,291.4466949,289.907896922,288.11237947,288.940455823,289.343237089,289.251495143,290.369634974,288.599703713,291.146735618,289.974695422,289.346214494,290.508378078,288.077520682,286.960589157,288.929438564,288.468902588,288.341269287,289.898961968,290.31305043,289.181381192,288.620095375,289.674462689,289.56667015,289.210631802,288.902336344,289.980496052,288.645571239,292.094516161
