model,IPSL-CM5A-LR,GFDL-CM3,FIO-ESM,FIO-ESM,FIO-ESM,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,GISS-E2-H,MIROC-ESM-CHEM,GFDL-ESM2G,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,NorESM1-ME,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,GISS-E2-R,HadGEM2-AO,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5,MRI-CGCM3,GFDL-ESM2M,bcc-csm1-1-m,NorESM1-M,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,bcc-csm1-1,IPSL-CM5A-MR
run,run1,run1,run1,run2,run3,run1,run1,run2,run3,run4,run5,run1,run1,run1,run1,run2,run3,run4,run5,run6,run1,run1,run2,run3,run4,run1,run1,run1,run2,run3,run1,run1,run1,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,296.617277602,296.064393773,296.673761815,297.497024524,296.85441275,296.093192468,296.733500108,296.356102714,296.541254449,296.566500949,296.93857436,299.248869219,297.020776739,297.180490856,295.70098826,295.040265206,296.320559325,295.47542301,295.790513509,295.160592162,294.678499198,296.269576181,296.506814999,297.196815269,296.447323008,300.13163018,297.82984181,293.958733067,294.507175562,294.499635374,297.734936264,295.665235266,298.497411122,295.088623047,297.164159105,297.019129032,298.432713769,297.17226949,296.771156878,297.896465675,298.210223699,297.134874054,297.163306999,297.146002637,297.547815806,297.006367352
2006-02-01,296.267073112,298.271858951,297.238286048,298.363737863,298.177035804,297.4374835,298.532075744,297.920421695,298.244753256,298.387548095,298.030626577,300.506785072,298.134963258,298.554139612,296.477293529,296.626293417,297.048983379,297.254855122,296.732361694,295.876822984,296.58657572,297.64030906,296.789008154,298.449267436,298.06196745,301.667950122,299.356755732,295.789019949,296.198053811,296.674125226,298.294290684,298.986055652,299.589343591,296.281860352,299.900571314,300.107265017,301.259382107,298.987870542,299.586478106,300.148055841,299.798605153,300.132591152,299.3772991,299.217764111,298.723426139,298.226080911
2006-03-01,298.249500071,300.704151515,298.000084352,298.782775381,298.292897002,298.059409106,299.69684783,299.888253514,299.610333064,299.734282018,299.345776903,301.855914999,297.943969741,299.358851519,298.213189554,297.711544956,298.660267033,298.358224193,297.483502187,297.699539685,297.100864986,300.201071264,299.844308927,299.465355166,299.860453352,302.214995463,301.183306077,298.188068944,297.901663049,298.027894342,299.948009563,299.409393009,300.104386836,297.233062744,300.045252955,300.403476524,301.416683791,300.52318063,300.854481375,300.198712811,300.941566348,300.47327823,300.258097808,301.215019031,298.349346914,298.800674404
2006-04-01,298.668308187,300.568591287,297.94754197,298.027436817,298.419220833,297.922244993,299.870437623,298.915010737,299.616164831,299.222987184,299.268488649,301.900791509,298.502129408,297.790983117,298.287980424,297.848420595,298.959361994,298.300372649,297.665211142,297.952343054,297.014661306,301.062076246,300.07585224,300.5921774,299.790383191,303.251509338,301.775092309,297.575762673,297.621711265,298.217723761,300.470375933,297.782843116,299.416882145,297.364715576,299.885365994,299.689070861,300.142743069,298.848784317,299.358079952,299.85368684,300.461591579,299.628435557,298.684819584,299.505619755,298.558906798,299.323749343
2006-05-01,298.692142165,298.833138372,296.4576711,296.74509902,297.073348926,297.244605545,299.09421843,298.892078509,298.521685653,298.79622018,298.261935096,301.477635826,297.469940785,296.477747008,297.604898646,296.539496334,297.778990204,297.60686599,297.196026848,296.97009777,296.168784069,299.569694049,299.582824392,298.728072372,299.95866252,301.423264784,301.088134209,296.876354909,296.642516227,296.895132968,298.225860469,296.443600664,300.611738311,296.757049561,298.707945859,299.417148411,299.458783072,299.047162512,298.132907096,298.127178085,299.20093041,298.357473715,298.275715719,298.873653329,298.264329078,298.915842484
2006-06-01,297.553097044,297.288285881,295.731190374,296.261256561,296.390032523,296.696681552,298.482287212,298.337464205,298.271779812,298.330784423,298.144059142,300.876888573,296.719616167,296.508924116,296.981362955,296.178443046,297.070395112,296.503751115,296.844551316,296.112941365,295.098348968,299.392859933,298.945173195,298.227260944,299.271747486,301.338378054,300.238776823,295.645708082,295.202100572,296.196686722,297.535472257,296.830277418,299.959482752,294.873046875,298.549786396,298.348489947,298.086855664,299.213781005,298.777288254,298.488413032,299.248748943,298.477199572,298.202495727,298.505329583,297.588486673,298.058342666
2006-07-01,297.247160495,297.380078915,295.865149129,296.082872749,295.43721855,295.60272644,297.98615733,297.834909813,298.059825434,298.068620233,298.228372324,300.752912437,296.680131409,296.650399874,296.807447676,295.839468946,296.506497394,296.539903838,296.522259559,296.154852854,294.923702234,298.793080023,298.796917113,298.158022136,298.397132907,301.756018851,299.76546316,295.229623012,295.303731194,295.926728697,299.207288002,297.480474231,299.175587819,294.510681152,298.126966921,298.435229937,298.43819834,298.380811932,298.330826892,298.537072871,298.703528893,297.71564561,298.268404067,298.409996093,296.598759368,297.613011745
2006-08-01,297.332608432,298.569707531,297.278435748,296.60618102,296.29451801,296.990699845,298.110196773,297.974099107,298.36500719,298.512278416,298.127346777,301.66953988,296.931133587,297.19328183,296.941183003,297.008392648,296.643785904,297.097179189,297.229410492,296.173805709,295.192000289,299.585237702,298.716408731,298.293668706,298.175356466,301.884681571,299.349107991,295.700900064,295.904342009,296.223300272,298.948238919,299.145517758,298.97130054,295.331573486,298.556674723,298.942463458,298.924095265,299.189149228,298.492569317,298.647379198,299.034156993,298.058301423,298.406089184,298.814768377,296.705642693,298.057021843
