model,IPSL-CM5A-LR,GFDL-CM3,FIO-ESM,FIO-ESM,FIO-ESM,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,GISS-E2-H,MIROC-ESM-CHEM,GFDL-ESM2G,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,NorESM1-ME,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,GISS-E2-R,HadGEM2-AO,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5,MRI-CGCM3,GFDL-ESM2M,bcc-csm1-1-m,NorESM1-M,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,bcc-csm1-1,IPSL-CM5A-MR
run,run1,run1,run1,run2,run3,run1,run1,run2,run3,run4,run5,run1,run1,run1,run1,run2,run3,run4,run5,run6,run1,run1,run2,run3,run4,run1,run1,run1,run2,run3,run1,run1,run1,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,284.81301279,285.865451617,285.422825691,285.868866688,286.028668651,285.655345216,286.374132747,286.240459306,286.330623816,286.273332221,286.087658778,287.439836516,285.776701401,285.514843176,286.009421577,286.157658188,286.530289893,286.185124503,285.915436701,286.028558041,285.035372987,285.050095246,285.444787966,285.580425633,285.236096029,286.571425517,286.095215622,285.040901994,284.787909851,285.172082459,285.459948916,286.049853036,287.246754165,285.275543213,284.519376586,284.81919872,284.768490271,284.463492298,284.538290882,284.477267371,284.834191791,284.559799826,284.438549394,284.406150433,286.330739802,285.621243572
2006-02-01,284.869028879,286.097697232,285.796477846,286.178853544,285.994077143,285.90640386,286.604154306,286.287993667,286.495673111,286.238469358,286.085152967,287.763800068,285.976693872,285.877280037,286.515694766,286.245296961,286.462857847,286.354291434,286.013319576,286.147152617,285.418367949,285.456742539,285.686343525,285.655818674,285.71217063,286.919720594,286.39482413,285.549216322,285.224231764,285.746836976,285.802146721,286.436057949,287.323713351,285.784118652,284.821885758,285.047867399,285.243579014,284.718074716,284.79356159,284.730255886,285.189267451,284.941048569,284.580012265,284.83835987,286.647438164,285.684966579
2006-03-01,285.598562841,286.707194278,286.261334216,286.458141091,286.509417075,286.442391686,287.023544787,286.905384798,287.136837018,286.845757982,286.881382554,288.199899027,286.492919606,286.34575761,287.030387767,286.903866467,287.037218133,286.886841951,286.751146738,286.461266974,285.960524826,286.362595031,286.252326518,286.361431906,286.437291218,287.54026461,287.144026364,286.282426678,286.127601724,286.440714787,286.417015831,286.942669156,287.94225831,286.446472168,285.674304912,285.621444575,285.922415166,285.631524609,285.400675513,285.710550847,285.998206178,285.692471529,285.418635962,285.574321669,287.283119039,286.658288585
2006-04-01,286.46888825,287.202163925,287.279402816,287.129538804,287.567948927,287.177810459,288.028521164,287.739401969,288.00604277,287.859674089,287.654132198,289.024267111,287.209680723,287.323453708,287.83696682,287.483566183,287.700283592,287.73951481,287.620347006,287.393140689,286.759144573,287.465126753,287.281832657,287.576166012,287.354627926,288.518552868,288.202684343,287.065289979,287.007367594,287.391276836,287.248892662,287.752630553,289.126160344,287.10723877,286.586278787,286.71759476,286.921970662,286.580692435,286.63332863,286.734286695,286.984592136,286.74426061,286.504212364,286.723533195,288.297423781,287.299928893
2006-05-01,287.42028086,288.117444684,288.164251642,288.148651872,288.367415779,288.180582415,289.183719194,288.928508278,289.156854661,289.111240022,288.939236798,289.872245887,288.182531067,288.309071921,288.700023944,288.580653605,288.57294361,288.482050344,288.610180464,288.345653582,287.575787449,288.532120231,288.459181869,288.529653827,288.536705018,289.207122426,289.318734587,287.963422891,287.900000007,288.329850954,288.192897185,288.64564512,290.001089677,287.898040771,287.658612705,287.922620098,288.074110633,287.815165012,287.770250365,287.710702594,287.963803362,287.859079463,287.616860721,287.680854787,289.197144624,288.166554093
2006-06-01,288.261772789,288.911846702,288.713704336,288.948776427,289.067669505,288.930238115,290.16872978,290.070371966,290.160581885,290.068050231,290.021822828,290.42316613,289.014349267,288.956822484,289.472819227,289.314116574,289.37224926,289.387705057,289.415286721,288.995376443,288.179139738,289.386146887,289.345248604,289.376490952,289.40512468,289.770439015,289.936029925,288.755998694,288.725144258,289.008034753,288.880886451,289.410226054,290.551643589,288.60369873,288.348982073,288.627601463,288.698157704,288.52535571,288.458052566,288.42262862,288.59655085,288.518510947,288.345568062,288.380282578,289.568993799,288.99535708
2006-07-01,288.677901926,289.341238352,289.178251281,289.259521782,289.145530951,289.176678381,290.733196948,290.553400686,290.652734277,290.661736565,290.473574622,290.677934745,289.352390788,289.092498192,289.897168213,289.559694004,289.807951108,289.763540256,289.766741355,289.456375121,288.403005547,289.597406284,289.463933236,289.512901663,289.574761942,290.164929179,290.202942398,289.09462725,288.998992923,289.252383844,289.386378523,289.625590351,290.849410761,289.005279541,288.380165368,288.678078497,288.818559314,288.604793384,288.630238965,288.471988695,288.843824298,288.563408324,288.585225499,288.562982382,289.858272725,289.325301891
2006-08-01,288.479365881,289.335015214,289.120495104,289.079295499,288.927697213,288.928390103,290.445629462,290.247919436,290.464029462,290.484012245,290.292217316,290.468123405,288.995346885,289.00731818,289.572438477,289.433757057,289.493292444,289.511811312,289.567076737,289.429332107,288.31241841,289.401829773,289.385955598,289.418717991,289.359888716,290.146101199,289.996511679,288.955333541,288.864592039,288.970709305,289.138904339,289.464598958,290.491808369,288.940307617,288.141924055,288.445444175,288.561081424,288.277773944,288.37376615,288.143160255,288.513403881,288.328499126,288.012326674,288.222596076,289.536090755,289.253454622
