model,IPSL-CM5A-LR,GFDL-CM3,FIO-ESM,FIO-ESM,FIO-ESM,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,GISS-E2-H,MIROC-ESM-CHEM,GFDL-ESM2G,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,NorESM1-ME,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,GISS-E2-R,HadGEM2-AO,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5,MRI-CGCM3,GFDL-ESM2M,bcc-csm1-1-m,NorESM1-M,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,bcc-csm1-1,IPSL-CM5A-MR
run,run1,run1,run1,run2,run3,run1,run1,run2,run3,run4,run5,run1,run1,run1,run1,run2,run3,run4,run5,run6,run1,run1,run2,run3,run4,run1,run1,run1,run2,run3,run1,run1,run1,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,270.261740483,274.483951453,272.390101507,273.010181925,276.568010447,274.362993524,269.72245812,273.344853572,275.365662576,271.508488339,275.506829498,268.891990543,273.712277989,275.990021891,273.373539978,269.621457544,275.795767424,277.019031683,273.501882357,269.928962277,272.237721084,270.213293336,269.828018428,270.956162628,274.749654287,274.995325333,261.809134038,271.060148365,265.64244663,271.24141888,276.203933462,273.694817522,272.648421997,269.368804932,270.337978737,272.805799392,268.085626873,264.49734807,269.694544123,273.148334054,271.926333633,276.960962233,265.234463374,267.795538676,277.974235214,271.032401353
2006-02-01,276.550342144,277.817472994,279.096575506,277.825142137,277.087854201,279.519140212,272.172481083,275.485233442,278.986605238,268.868283134,272.314311668,271.493021918,277.958998603,278.102258844,271.393338889,273.016552353,275.849750156,276.814663577,272.480196716,277.575595431,277.125636144,275.523172751,274.113475005,272.349242038,278.851419961,273.369505626,271.924558304,272.893263452,273.541825625,276.823558689,272.379056727,270.842220346,271.399409812,275.187835693,274.098878277,274.75402945,273.771829765,274.07312486,267.46265421,276.307780937,270.233213551,276.139042572,265.986274012,273.84008215,277.194693186,275.394964302
2006-03-01,281.238906993,279.634372874,281.011039338,275.050503898,279.294848613,285.493243185,279.31965328,282.450712694,282.829101387,276.324394698,279.927742191,280.068318938,280.816490751,274.429333243,282.620122986,275.71418915,281.960588127,279.795259803,281.922324669,281.821898605,277.498092141,279.390026225,281.00472864,282.463125341,281.631872589,280.731371858,279.227966765,279.571009935,281.427791267,283.357398353,278.63097488,277.6012982,278.811167106,277.52255249,278.206733402,280.911431541,278.462396937,276.355788476,272.238921252,279.409546519,275.80242802,281.978546816,276.154185803,276.616214714,280.202680407,278.674274144
2006-04-01,283.879707637,283.489514884,286.187150273,284.194719024,286.6340681,284.480558113,287.539731742,288.440293251,287.713846573,286.684936339,290.328172086,282.56591443,289.06294326,284.00310464,285.374792293,284.368856886,287.816389268,287.505128001,287.92651165,288.233099894,286.117354555,287.985830391,282.96649518,283.546360346,286.790981039,283.931171385,284.405271828,284.245699305,288.464034954,285.525286183,284.258969685,281.120097785,285.95030464,286.381072998,284.195084033,283.507181842,283.902069412,285.999947139,282.837410544,283.986110486,281.988850508,286.786881217,283.805695598,286.07316165,281.505858442,284.577009495
2006-05-01,293.439114554,287.458501458,290.584455659,290.598421827,290.634065773,292.775654971,293.461322586,294.738079683,295.025355638,292.685672153,294.462289524,291.404678504,294.472000617,290.644374749,292.71699352,290.928709489,290.515369715,291.675534164,292.716101617,291.483576229,290.171258326,292.733198635,293.503468077,289.002667176,292.274703412,289.780524138,293.081349693,291.352588984,291.832521962,290.317754256,289.417368888,288.578238252,295.020864654,290.876312256,293.159771257,291.733436923,290.473971645,293.050787244,290.987844097,288.596935465,289.363976368,293.81619533,289.033963185,289.158933768,290.215912907,292.952391126
2006-06-01,297.627472954,291.718634802,295.507334694,293.98133742,294.188953313,299.528447942,299.799727224,299.893468269,299.657706164,299.941017675,300.206355348,294.754159027,297.541024211,298.05220918,296.112205319,296.40445634,296.313119227,296.450860967,296.907537483,296.80329057,294.80178192,298.201622239,301.500509568,298.843317111,295.592605748,294.46208312,295.614938941,295.150484375,294.611491647,294.38509345,293.223358684,294.326423871,301.211702868,294.550476074,304.718126044,300.853201762,299.749991995,300.152671964,300.589592695,297.141128722,300.077228429,303.662641618,300.723168337,300.034085035,297.894282904,300.095341456
2006-07-01,301.89846304,295.447842759,300.245214929,297.369201089,299.244837999,302.553852274,301.438301416,302.316344347,301.356109469,302.741385668,302.533653599,295.094465194,300.094256702,301.849751384,300.593006085,300.961028143,300.293328305,302.291624869,300.275688119,300.749778426,298.606845247,303.423965952,302.653809051,301.248865965,300.577499195,294.174282423,302.729344236,297.857267394,298.650619597,298.22982333,297.285729561,296.948156736,306.564051304,298.754455566,307.303640053,305.381770082,304.617242488,306.18516923,306.571289429,307.54968917,308.465048434,309.460117448,305.622104978,305.654906202,300.650164606,302.16823108
2006-08-01,299.239659425,294.801733664,296.595512991,297.080526056,296.753130803,299.539705406,300.367735104,300.485581362,301.580197483,302.817208756,301.820420255,295.931094412,297.464618209,298.872786236,299.266714042,300.348659172,301.717458782,300.699477767,300.698003489,302.22484669,297.99331076,302.063991652,303.109336795,303.140817203,301.065082388,298.524113035,302.952773226,295.4550942,298.386949448,297.890076196,296.520564403,294.430971612,300.459564339,299.560424805,306.077084147,305.372158568,307.594666453,304.012471,307.654423305,306.427439042,307.257082675,304.93420245,306.788927983,306.719179854,297.42594059,302.105971996
