model,IPSL-CM5A-LR,GFDL-CM3,FIO-ESM,FIO-ESM,FIO-ESM,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,GISS-E2-H,MIROC-ESM-CHEM,GFDL-ESM2G,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,NorESM1-ME,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,GISS-E2-R,HadGEM2-AO,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5,MRI-CGCM3,GFDL-ESM2M,bcc-csm1-1-m,NorESM1-M,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,bcc-csm1-1,IPSL-CM5A-MR
run,run1,run1,run1,run2,run3,run1,run1,run2,run3,run4,run5,run1,run1,run1,run1,run2,run3,run4,run5,run6,run1,run1,run2,run3,run4,run1,run1,run1,run2,run3,run1,run1,run1,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,267.339014793,271.729052015,263.922658242,268.591536846,271.429579153,267.495227355,266.735155044,270.591538027,272.425103714,268.380975792,272.229255447,266.303673254,267.447934674,272.121617454,269.144056976,266.067213234,271.545860137,273.167172648,269.595796644,266.611785587,269.052524769,265.263934435,265.848900705,267.123546489,269.000369341,269.287594684,259.391528803,266.962438182,260.827014708,266.846244645,271.388954156,271.108690973,269.16683425,266.37991333,266.508673451,269.225932401,264.396382939,262.279890679,266.460358229,269.613333801,269.317641846,272.570782602,263.408910379,265.806549015,270.774472971,266.889027391
2006-02-01,271.967962481,274.023813506,275.026976055,271.478826333,268.650317795,273.762617596,268.429748264,271.150040859,274.314205672,266.056554698,267.796447434,269.673707306,270.363499203,271.904986747,267.669789649,269.083981507,272.386706601,273.882889161,267.900589776,272.725934251,273.416531313,269.946832993,269.217551305,267.667122172,273.279222562,269.581220433,267.66748595,267.965363016,267.952695818,273.589758443,269.404442899,269.003525777,267.376565993,271.090820312,271.378007596,270.658335701,271.161816473,271.00421066,265.913815546,272.6532229,267.05978868,271.525696614,263.575759331,271.454535709,270.296058618,270.051794993
2006-03-01,276.826402912,276.183312621,274.940097193,271.222914967,275.7852849,279.613901737,274.727977533,277.60691936,277.670145701,272.743239484,275.433373076,276.821083909,273.076814088,271.269887618,278.622395202,272.210667233,279.124799552,275.703396201,276.884430782,278.735658901,274.23591719,273.706472921,277.578551146,276.662110461,276.723422252,277.470948849,274.724768237,275.538831742,277.440088456,280.092771626,274.392455979,273.381018397,274.417537067,274.45892334,275.018783875,276.688453711,276.141927057,274.231772949,270.323218705,276.23322741,272.619466264,277.353041639,273.7722349,274.116109695,274.925577189,274.371960986
2006-04-01,279.152824694,280.217823011,282.638792735,279.746303939,282.612742994,279.758170571,283.609792176,284.796232888,283.435491595,282.409807283,285.654381786,280.149738906,285.450687936,280.577231355,282.616049191,280.796638969,284.907620992,283.806542751,284.937794647,284.39536616,283.342615681,283.825676155,280.323159849,281.571133041,283.764034151,281.258332612,282.387499651,281.802529583,285.316932741,283.015311979,279.503249875,277.933643004,281.650146746,282.991546631,280.520364196,280.313153553,280.565322253,282.074985986,280.350099285,280.930907432,279.129451046,282.14478528,280.469160042,282.486006148,278.276391276,280.044584062
2006-05-01,288.314306635,285.413765315,286.853657726,286.810018133,286.856896321,289.763973096,290.780293285,291.061655308,291.830182468,289.866162717,291.432211543,289.527849495,291.241151951,286.505846393,289.660754466,287.98070154,287.654473557,288.093651093,289.582376251,288.073762984,287.443368988,289.703864594,291.214752508,287.218004779,289.689392385,287.91740105,290.932444221,288.746973052,288.967141288,288.665230699,286.009802804,286.338696056,291.118561982,288.080474854,287.862400468,287.726146271,287.564437767,288.294900365,287.046533254,285.718678041,286.406567,289.581379505,285.782018954,286.193406567,285.256934402,287.952336504
2006-06-01,292.499528123,290.183941269,291.892103156,291.323600085,291.75831628,296.442618602,297.670187451,296.439667512,296.836730994,296.806619573,296.833115611,292.18180523,295.228270818,295.09176756,293.760694813,294.43421071,294.236270499,294.221083138,294.414211741,294.586456562,292.180193673,295.205392173,297.337031219,295.752691018,294.813279603,292.07769981,294.309093563,293.044471589,292.475128929,292.907660528,290.275737203,292.355914729,296.318295564,292.406311035,298.277602777,295.103443723,295.159277246,295.032057324,295.983517222,293.710332572,295.415171662,297.992193201,294.949395102,295.811473328,291.715145101,294.183244268
2006-07-01,296.60494796,293.536514425,296.180580522,294.988650493,296.12473073,298.541944896,298.759986247,299.400327142,298.599281065,299.977055212,299.671369691,293.326272843,297.743548823,296.980227647,298.739616545,298.798918219,297.855656399,299.520057121,297.734200385,298.660711116,296.839719344,299.27168983,300.281662595,298.658257017,298.286606668,292.408090497,300.708608739,295.87298866,296.031130899,296.405527679,294.972437817,295.483542901,301.218530266,296.828460693,301.32268417,300.282714273,301.028956967,300.887167019,302.47328668,301.778136235,303.685043087,303.855808788,300.502389522,300.803945673,295.013417783,297.142845581
2006-08-01,295.060233063,292.35051701,293.193097114,293.375352747,293.364194027,296.493348282,297.706356702,296.95523098,298.21377186,298.922008061,297.967554233,292.787523968,295.393983354,294.55369304,297.0316442,297.434248538,298.082431998,297.993848923,297.559270203,298.004766474,295.321999975,297.642454253,298.754274171,298.517816685,297.398950897,295.461385514,299.890757352,293.616278495,295.115374266,295.225436458,293.627176293,293.053984177,296.511340392,296.621582031,301.239303631,300.164980074,302.339203644,298.807908515,301.700321235,301.160861287,301.81842715,300.97319941,301.121703749,300.794614756,293.291250582,297.672358149
